SERIAL;JOURV2;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D7_0;D7_1;D7_2;D8_0;D8_1;D8_2;D9;D10;D11_0;D11_1;D11_2;D11_3;D11_4;D11_5;D11_6;D12;D13;D14_0;D14_1;D14_2;D14_3;D14_4;D14_5;D14_6;D14_7;D14_8;D14_9;D14_10
2375;3;1;1;10;69;11;1;7;7;3;1;5;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;6;1;4;1;1;1;2;5;45;3;;;;;1;4;;2;2;2;2;2;1;2;2;4;3;4;4;;;;;1;69;11;6;2;0;2;3;5;5;2;;;;2;2;2;1;2;2;1;1;4;2;2;2;2;2;2;1;1;1;1;1;2;3
2376;3;1;1;10;49;7;4;7;7;1;8;2;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;7;1;5;5;5;5;4;5;5;120;1;2;3;;;0;2;;1;2;2;2;1;2;2;2;4;4;4;4;;;;;1;49;7;2;1;0;0;2;5;5;5;;;;4;3;4;5;5;3;4;2;5;5;1;2;4;4;3;3;3;3;2;1;4;3
2377;3;3;2;7;91;1;5;1;5;2;1;8;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;2;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;91;1;3;2;0;0;3;5;5;2;;;;2;2;2;1;1;2;1;1;4;5;4;2;2;3;2;2;2;3;2;1;3;3
2378;3;1;1;10;66;10;1;7;7;5;1;6;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;3;4;4;2;1;6;1;5;0;;;;;;0;3;;1;2;2;2;2;1;2;2;4;4;4;4;;;;;1;66;10;8;1;0;0;6;5;5;1;;;;4;2;2;2;2;2;2;2;2;2;1;3;2;2;3;1;2;3;2;4;2;1
2379;3;1;1;10;54;6;4;7;7;3;8;3;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;2;1;1;1;1;2;50;1;;;;;0;4;;2;2;1;2;2;1;1;1;4;4;4;4;;;;;1;54;6;4;2;0;2;5;5;1;1;;;;3;2;1;1;1;2;2;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1
2380;3;1;1;10;69;11;4;7;7;3;1;3;4;1;2;1;;1;2;;2;2;1;1;1;1;2;2;2;1;1;10;1;1;1;2;1;1;1;2;1;60;2;;;;;1;3;;2;2;2;2;2;3;2;2;4;2;2;1;;;;;1;69;11;2;2;0;1;5;;;;2;3;1;2;2;2;5;1;3;3;1;4;;2;1;1;4;3;1;1;1;1;1;1;2
2381;3;2;1;10;59;5;1;7;7;3;1;5;4;3;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;2;2;45;1;;;;;0;4;;2;2;2;2;2;1;2;2;4;3;4;4;;;;;1;59;5;5;2;0;0;3;;;;;;;2;3;4;2;2;2;2;2;4;;3;1;1;3;1;1;1;1;1;1;2;1
2382;3;1;1;10;59;5;4;7;7;3;1;9;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;1;2;1;1;1;2;2;30;1;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;59;5;8;2;0;1;4;2;2;1;;;;2;1;2;1;1;3;3;1;4;4;4;1;1;1;1;1;1;1;1;1;2;1
2383;3;2;1;10;59;5;1;7;7;3;1;10;9;2;;3;;2;3;;2;2;2;2;2;2;2;2;2;2;2;9;2;6;4;4;1;1;1;1;3;40;2;;;;;0;3;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;59;5;8;2;0;2;4;3;4;1;;;;3;2;1;1;1;3;2;1;4;2;2;1;1;3;1;1;1;1;1;1;1;1
2384;3;1;2;10;75;1;5;3;2;5;2;8;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;1;1;1;1;1;1;4;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;3;5;;;;1;75;1;2;1;0;0;5;5;2;1;;;;3;3;5;1;1;2;2;1;4;5;2;2;2;4;2;2;2;2;2;2;3;2
2385;3;2;2;10;75;1;5;7;7;3;1;6;11;2;;3;;2;2;;1;2;1;2;2;2;2;2;2;2;2;10;2;3;1;1;1;1;1;2;6;75;1;;;;;1;2;2;2;2;2;2;2;3;3;2;4;3;4;4;;;;;1;75;1;4;2;0;2;5;5;2;1;;;;2;3;2;1;1;3;2;1;3;2;5;1;2;1;2;1;1;1;1;1;1;1
2386;3;1;2;10;45;2;1;1;3;3;1;10;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;4;1;1;1;2;1;4;45;3;;;;;2;3;2;2;2;2;2;2;2;2;2;3;4;2;4;1;;;;1;45;2;5;3;1;0;4;3;3;1;;;;2;1;3;1;1;3;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1
2387;3;3;2;10;34;10;4;1;5;2;1;10;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;6;1;1;6;60;2;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;34;10;4;4;2;0;6;5;5;5;;;;3;2;4;1;5;3;1;1;1;3;2;1;3;2;1;2;1;2;2;1;1;1
2388;3;1;1;10;11;10;2;7;7;3;6;8;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;6;1;1;2;1;1;1;3;3;5;;;;;0;3;;2;2;2;2;2;1;2;2;4;4;4;4;;;;;1;11;10;8;2;0;0;6;3;5;2;;;;3;2;4;1;1;2;2;2;4;3;2;1;1;2;3;1;1;1;1;1;3;2
2389;3;2;1;10;69;11;4;7;7;3;1;6;8;2;;3;;2;2;;3;2;2;2;2;2;2;2;2;2;2;9;2;6;3;1;1;2;1;1;4;60;1;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;69;11;6;2;0;2;3;2;3;1;;;;1;2;2;1;2;1;1;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1
2390;3;1;1;10;34;10;3;7;7;1;1;4;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;2;1;1;1;7;6;0;;;;;;0;3;;2;2;1;2;2;2;2;2;4;3;3;4;;;;;1;34;10;6;1;0;0;4;2;1;2;;;;2;2;2;1;1;2;2;1;3;2;3;1;2;4;2;1;2;1;1;1;2;2
2391;3;2;2;10;58;3;3;7;7;3;1;7;3;2;;3;;2;2;;2;2;2;2;2;2;2;3;2;2;2;10;1;2;1;1;1;1;1;1;2;35;2;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;58;3;6;1;0;0;3;5;5;1;;;;3;2;2;1;1;2;1;1;3;3;2;1;1;1;1;1;1;1;1;1;2;1
2392;3;1;1;10;78;1;2;7;7;3;1;6;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;8;2;6;3;1;1;4;1;1;6;30;1;;;;;0;4;;1;2;2;2;2;2;2;2;2;2;4;3;;;;;1;78;1;5;2;0;2;2;3;2;1;;;;2;3;3;2;2;3;2;1;4;2;2;2;1;3;2;1;1;1;1;1;2;3
2393;3;1;2;10;61;4;1;7;7;3;8;1;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;3;6;5;1;1;6;1;6;180;2;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;2;3;;;;;1;61;4;6;2;0;0;2;5;5;5;;;;2;2;4;1;2;2;1;2;4;3;2;1;1;2;3;1;1;1;3;1;3;2
2394;3;2;2;10;63;11;2;7;7;3;1;8;10;2;;3;;2;2;;2;2;2;2;1;2;2;2;1;2;2;10;1;1;1;1;1;1;1;1;2;90;1;3;;;;3;3;2;2;1;2;2;2;1;2;3;2;3;1;3;;;;;1;63;11;5;2;0;2;3;2;2;1;;;;2;2;2;1;2;2;1;1;4;2;1;1;1;2;1;1;1;1;1;1;1;1
2395;3;1;2;7;13;12;4;6;8;3;1;2;3;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;9;1;2;4;1;2;1;1;2;6;0;;;;;;2;3;2;2;2;2;2;3;2;2;2;3;3;2;4;;;;;1;13;12;7;5;1;0;6;5;1;1;;;;2;2;1;1;1;3;4;1;4;1;3;1;1;2;1;1;1;1;1;1;3;1
2396;3;1;1;10;89;3;1;7;7;3;4;1;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;3;4;2;2;1;2;2;5;60;1;2;;;;1;3;;2;2;2;2;3;2;2;2;3;3;3;3;;;;;1;89;3;5;2;0;2;3;3;4;2;;;;3;2;3;2;2;2;2;2;2;3;2;1;2;2;2;2;1;2;2;1;2;2
2397;3;1;1;10;61;4;3;7;7;3;2;4;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;8;2;4;3;2;2;2;2;2;6;135;1;2;;;;2;3;;1;3;2;2;2;1;3;3;4;4;4;4;;;;;1;61;4;5;2;0;2;3;3;1;1;;;;3;1;5;1;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;2;3;1
2398;3;3;1;10;56;8;4;7;7;2;1;6;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;4;3;4;1;1;1;2;3;120;1;2;;;;10;3;;2;2;2;2;2;1;2;2;3;4;4;3;;;;;1;56;8;5;2;0;0;3;2;2;1;;;;2;2;5;1;1;5;1;1;4;2;2;2;1;4;1;1;1;2;2;1;2;1
2399;3;1;2;10;73;11;2;7;7;3;8;7;11;2;;3;;2;2;;2;2;1;2;2;2;2;1;2;1;2;6;1;6;3;1;2;2;6;2;4;60;1;;;;;0;2;2;1;2;3;3;2;2;2;3;3;3;3;3;;;;;1;73;11;5;2;0;2;3;5;2;2;;;;3;3;3;2;2;2;2;3;3;2;2;2;2;3;3;1;2;2;3;2;2;3
2400;3;1;1;10;14;4;2;7;7;3;1;6;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;2;1;1;1;2;4;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;14;4;5;2;0;0;6;4;2;1;;;;3;2;2;1;2;2;2;1;3;3;2;2;2;3;2;2;1;1;1;1;3;2
2401;3;1;1;10;94;1;5;7;7;3;1;9;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;0;2;6;2;1;2;1;1;1;6;0;;;;;;0;2;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;94;1;4;2;0;2;6;5;1;1;;;;3;1;2;1;1;2;1;1;4;1;1;1;1;2;1;1;1;1;1;1;4;1
2402;3;2;2;10;37;2;4;7;7;3;1;2;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;2;4;0;;;;;;1;1;2;2;2;2;2;2;2;2;2;4;3;3;4;;;;;1;37;2;3;2;0;1;2;3;2;1;;;;2;1;2;1;1;3;2;1;1;4;2;1;1;4;1;3;1;1;1;1;3;1
2403;3;3;2;10;28;2;2;7;7;3;1;8;10;2;;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;10;1;2;2;1;5;1;1;2;2;0;;;;;;0;2;2;2;2;1;2;2;2;2;2;4;1;3;4;;;;;1;28;2;5;2;0;1;4;3;2;1;;;;1;2;2;2;2;2;2;1;4;3;4;3;3;3;3;1;2;1;3;2;1;2
2404;3;1;1;10;71;3;3;7;7;3;1;8;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;4;3;4;1;1;2;2;6;150;1;2;;;;1;2;;2;2;2;2;2;2;2;2;4;3;4;4;;;;;1;71;3;5;2;0;1;4;5;2;1;;;;2;3;1;2;2;2;2;1;3;2;3;2;2;3;3;2;2;2;2;1;2;2
2405;3;1;2;10;44;7;4;7;7;5;1;5;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;2;2;1;1;1;2;6;120;1;;;;;0;3;2;2;2;2;2;2;1;2;2;3;3;3;2;;;;;1;44;7;5;1;0;0;3;5;3;1;;;;2;1;2;1;1;1;1;1;3;3;2;1;1;4;2;1;1;2;2;1;1;2
2406;3;1;2;10;34;10;4;7;7;5;9;2;6;2;;2;;2;2;;2;2;2;2;2;1;2;2;2;2;2;7;2;3;6;4;1;1;1;1;3;0;;;;;;3;2;2;2;1;2;2;2;2;2;2;4;2;2;4;;;;;1;34;10;5;1;0;0;5;5;5;1;;;;3;1;1;1;2;3;2;1;4;5;2;1;1;4;2;1;1;2;1;3;2;1
2407;3;3;2;10;31;10;4;7;7;5;1;2;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;3;1;1;1;1;2;2;30;2;;;;;0;1;2;2;2;1;2;2;2;2;2;3;3;4;3;;;;;1;31;10;2;1;0;0;5;5;1;2;;;;2;2;3;2;2;5;3;1;4;2;3;2;1;2;2;1;2;1;2;1;2;1
2408;3;1;2;10;68;6;1;7;7;3;1;6;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;3;0;;;;;;0;2;2;2;2;3;2;2;2;2;2;3;3;3;4;;;;;1;68;6;5;2;0;0;3;5;1;1;;;;1;2;2;1;1;4;2;1;4;1;4;1;4;3;1;1;1;1;1;3;3;1
2409;3;3;2;10;38;11;1;7;7;3;1;4;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;4;1;1;1;2;5;45;1;;;;;2;3;2;2;2;2;2;2;1;2;2;4;4;4;3;;;;;1;38;11;5;2;0;2;2;4;3;1;;;;3;2;2;1;2;3;1;1;2;3;1;1;1;1;1;2;1;1;1;1;1;1
2410;3;1;1;10;92;1;5;1;3;3;1;4;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;6;20;1;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;3;3;;;;1;92;1;3;4;2;2;6;2;2;2;;;;4;2;1;1;2;2;2;2;3;3;2;1;2;4;2;3;1;2;2;2;2;2
2411;3;2;2;10;11;10;1;7;7;5;8;1;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;1;1;1;1;1;6;60;2;;;;;0;3;2;2;2;2;2;2;2;2;2;3;4;4;4;;;;;1;11;10;2;1;0;0;5;2;2;1;;;;3;2;2;1;1;2;1;1;4;3;1;1;1;1;1;1;1;1;1;1;1;1
2412;3;2;1;10;54;6;4;7;7;3;1;4;8;2;;3;;2;2;;2;2;2;2;3;2;2;2;2;2;2;10;2;5;6;4;7;5;6;1;6;0;;;;;;0;4;;2;2;2;2;2;2;3;2;4;4;4;4;;;;;1;54;6;7;1;0;1;6;5;5;1;;;;1;2;2;1;1;2;1;1;4;2;3;1;1;1;1;1;1;1;1;1;1;1
2413;3;2;1;10;68;6;4;7;7;2;2;3;1;1;3;2;;2;1;39.0;1;2;2;1;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;6;60;1;;;;;0;2;;2;3;3;2;2;2;2;2;2;2;2;2;;;;;1;68;6;3;2;0;0;4;;;;3;3;1;2;1;2;1;1;2;1;1;4;;1;1;1;3;1;1;1;1;2;1;2;1
2414;3;2;1;10;71;3;1;7;7;3;11;11;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;1;2;1;1;1;2;4;90;1;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;71;3;6;4;1;0;5;4;2;1;;;;3;2;2;1;1;2;1;1;3;3;1;1;1;3;1;1;1;1;2;1;2;1
2415;3;1;1;10;61;4;1;7;7;3;1;8;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;2;2;1;1;1;3;80;1;;;;;5;4;;1;2;1;2;2;2;2;2;4;4;4;4;;;;;2;85;7;5;2;0;1;6;2;1;1;;;;5;1;2;1;1;2;2;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1
2416;3;1;1;10;49;7;3;7;7;3;1;7;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;4;1;2;1;1;2;6;120;2;;;;;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;49;7;5;2;0;0;3;3;3;2;;;;3;2;2;2;3;2;2;2;4;3;2;2;2;4;2;2;2;1;3;1;2;2
2417;3;2;1;10;75;1;5;7;7;1;1;6;4;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;1;1;1;2;3;60;1;2;;;;0;3;;1;2;1;2;2;1;2;2;2;1;1;2;;;;;1;75;1;3;1;0;1;6;3;1;1;;;;3;2;1;1;1;2;2;1;4;1;2;1;1;2;1;1;1;1;1;1;1;1
2418;3;1;1;10;78;1;5;7;7;3;6;8;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;6;4;5;1;1;1;1;6;0;;;;;;0;3;;1;2;2;2;2;2;3;2;4;4;4;4;;;;;1;78;1;8;3;0;2;5;3;3;2;;;;5;2;2;1;5;1;2;1;4;3;2;1;1;1;2;1;1;1;1;1;2;1
2419;3;1;2;10;28;2;1;7;7;6;1;3;7;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;2;1;1;1;1;5;0;;;;;;1;3;2;2;2;2;2;2;2;2;2;4;3;3;4;;;;;1;28;2;4;3;1;0;4;3;1;2;;;;1;2;2;1;5;5;1;1;3;1;2;1;1;3;2;2;3;4;1;3;4;2
2420;3;1;2;10;69;11;4;7;7;3;5;1;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;6;2;1;1;1;1;2;1;60;1;;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;2;3;;;;;1;69;11;5;2;0;2;5;5;3;2;;;;2;2;1;2;2;3;2;1;3;3;2;1;1;2;2;2;1;1;2;1;2;2
2421;3;1;1;10;80;5;4;7;7;3;1;10;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;3;5;5;4;1;1;1;2;4;50;1;;;;;0;4;;1;2;2;2;2;1;2;2;4;4;4;4;;;;;1;80;5;5;2;0;1;4;4;2;1;;;;3;2;3;1;5;3;3;1;3;2;1;2;2;4;1;2;2;3;1;1;3;1
2422;3;1;1;10;44;7;4;7;7;3;6;1;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;1;1;1;1;1;1;3;0;;;;;;0;2;;2;2;2;2;2;1;2;2;3;3;3;3;;;;;1;44;7;5;2;0;1;3;3;2;2;;;;2;2;2;1;1;2;1;1;2;3;2;1;1;4;1;1;1;1;2;1;1;1
2423;3;1;1;10;32;10;1;7;7;3;8;6;7;2;;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;7;2;3;4;3;2;2;1;1;3;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;3;4;3;;;;;1;32;10;8;2;0;1;5;3;2;3;;;;3;5;2;5;5;2;5;2;4;3;1;1;1;4;2;1;1;1;4;4;3;4
2424;3;1;1;10;37;2;4;7;7;3;1;9;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;2;2;1;1;1;1;4;30;1;;;;;1;4;;2;1;2;2;2;2;2;2;4;4;4;4;;;;;1;37;2;8;2;0;0;4;4;2;1;;;;4;2;1;1;3;3;3;1;1;2;1;1;2;3;2;2;1;2;1;1;2;1
2425;3;1;2;10;83;12;4;7;7;3;3;8;2;2;;3;;1;2;;2;2;2;3;2;2;2;2;2;2;2;7;2;3;3;2;2;2;2;2;3;30;1;;;;;0;3;2;2;2;2;2;2;2;2;2;3;3;2;3;;;;;1;83;12;4;2;0;2;2;5;5;2;;;;3;3;2;2;2;2;2;2;3;5;3;2;2;3;2;2;1;1;2;2;2;2
2426;3;2;2;10;92;1;5;7;7;3;1;8;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;3;60;1;2;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;3;5;;;;;1;92;1;4;2;0;0;4;3;5;1;;;;3;2;3;1;2;2;2;1;4;3;1;1;1;2;1;1;1;1;2;1;2;3
2427;3;1;1;10;62;5;4;7;7;3;1;8;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;6;0;;;;;;0;4;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;62;5;5;2;0;0;3;3;3;2;;;;3;2;2;2;2;2;2;2;3;3;1;2;3;4;2;1;2;3;1;2;2;2
2428;3;2;1;10;62;5;3;3;3;7;10;1;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;3;70;3;;;;;0;3;;2;2;1;2;2;2;2;2;4;4;4;4;6;;;;1;62;5;10;2;0;0;6;5;2;1;;;;3;1;2;1;5;2;5;1;4;2;2;5;1;1;2;1;1;1;1;1;1;1
2429;3;1;1;10;39;3;1;7;7;3;4;8;1;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;2;1;5;5;2;3;1;1;5;0;;;;;;0;2;;1;2;2;2;2;1;2;3;4;4;4;4;;;;;1;39;3;8;2;0;0;2;3;2;2;;;;5;2;2;2;2;3;2;2;4;2;2;2;3;3;3;1;2;2;2;1;2;3
2430;3;1;2;10;95;1;5;7;7;3;6;5;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;4;2;1;2;1;1;1;2;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;95;1;8;2;0;2;6;3;5;1;;;;3;2;2;2;1;2;1;1;4;3;2;1;1;1;1;3;1;1;1;2;2;3
2431;3;3;2;10;82;10;1;7;7;3;1;6;3;2;;3;;2;2;;2;2;2;1;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;6;60;2;;;;;0;3;2;2;2;2;2;1;2;2;2;3;3;3;3;;;;;1;82;10;7;2;0;0;3;4;1;1;;;;2;1;3;1;1;3;1;1;4;3;1;1;1;1;1;1;1;1;1;1;2;1
2432;3;2;1;10;44;7;4;7;7;3;1;8;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;9;2;3;3;1;1;1;1;1;3;50;1;;;;;3;4;;2;2;2;2;2;3;2;2;4;2;4;4;;;;;2;56;8;4;2;0;0;5;2;2;2;;;;2;2;5;1;1;3;2;1;4;2;2;2;1;3;2;1;2;2;2;1;2;1
2433;3;2;2;10;91;1;3;7;7;6;1;6;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;1;1;1;1;2;90;1;;;;;2;3;2;2;2;2;2;2;2;2;2;4;4;4;3;;;;;1;91;1;6;1;0;1;5;5;2;2;;;;4;2;3;1;1;2;1;1;4;5;2;1;2;3;2;1;2;2;2;1;3;2
2434;3;1;1;10;44;7;4;7;7;2;8;4;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;5;3;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;1;4;;;;;1;44;7;6;2;0;1;6;5;2;2;;;;2;2;1;1;1;2;1;1;4;3;2;1;1;2;1;1;1;1;1;1;1;3
2435;3;1;2;10;18;2;1;7;7;2;1;8;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;5;80;1;;;;;30;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;18;2;5;2;0;0;4;5;5;1;;;;2;2;2;1;1;2;2;1;4;4;5;1;2;3;1;1;1;1;1;2;2;1
2436;3;1;2;10;69;11;4;7;7;3;1;8;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;4;1;1;1;1;2;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;69;11;6;2;0;0;6;5;2;2;;;;2;2;3;1;2;2;3;1;4;3;2;1;1;3;2;3;2;2;2;3;3;1
2437;3;1;2;10;92;1;5;1;3;2;9;8;6;2;;2;;2;2;;2;2;2;2;1;2;2;2;2;2;2;9;2;2;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;1;2;2;2;2;3;1;6;;;;1;92;1;4;1;0;0;6;3;3;1;;;;2;1;2;1;2;3;2;1;3;4;1;1;1;1;2;1;1;1;1;1;2;2
2438;3;1;2;10;58;3;3;7;7;1;1;10;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;4;90;1;;;;;30;2;2;2;2;2;2;2;2;2;2;4;3;3;4;;;;;1;58;3;3;2;0;2;3;5;1;1;;;;1;1;5;1;1;4;1;1;4;5;3;1;1;2;2;1;1;2;1;1;2;1
2439;3;1;1;10;54;6;4;7;7;2;1;5;4;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;3;1;1;1;1;1;1;6;75;3;;;;;3;4;;2;2;2;2;2;2;2;2;4;4;4;3;;;;;1;54;6;3;2;0;0;4;5;1;5;;;;2;2;4;1;2;2;2;1;4;2;2;1;1;2;2;1;1;1;1;1;2;1
2440;3;2;2;10;34;10;4;1;4;3;1;10;9;2;;3;;2;2;;2;2;2;2;2;2;3;2;2;2;2;9;2;2;2;3;1;1;1;2;4;60;1;2;;;;0;4;2;2;2;2;2;2;2;2;2;4;4;2;4;3;;;;1;34;10;4;3;0;0;4;3;3;1;;;;3;2;2;1;1;2;2;1;3;3;2;1;1;1;1;1;1;1;1;1;2;1
2441;3;1;2;10;56;8;2;1;5;2;1;8;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;2;1;1;2;6;10;5;;;;;0;3;2;2;2;2;2;2;2;3;2;3;2;4;3;5;;;;1;56;8;4;2;0;1;6;5;2;5;;;;1;5;5;1;1;5;5;1;3;2;1;2;2;3;2;2;2;2;2;1;4;3
2442;3;2;1;10;76;4;1;7;7;3;1;6;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;2;2;1;1;2;1;0;;;;;;0;4;;3;3;2;2;2;2;2;2;4;4;4;4;;;;;1;76;4;5;3;2;0;6;3;2;1;;;;3;2;2;2;2;2;2;1;4;3;2;2;1;1;2;1;1;1;1;3;4;1
2443;3;1;1;10;75;1;5;7;7;3;8;1;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;4;2;7;7;7;1;4;120;1;;;;;1;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;75;1;4;2;0;0;6;3;3;3;;;;3;3;2;1;1;3;2;1;3;2;2;1;1;3;2;2;2;3;1;1;3;1
2444;3;2;1;10;39;3;1;7;7;3;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;2;2;50;2;;;;;0;3;;2;2;2;2;2;2;2;2;4;3;3;4;;;;;1;39;3;5;2;0;0;4;3;2;1;;;;4;2;2;1;2;2;1;1;3;3;2;1;1;3;2;1;1;1;1;2;1;1
