SERIAL;JOURV4;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C3BIS;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D30_0;D30_1;D30_2;D30_3;D30_4;D31_0;D31_1;D31_2;D32_0;D32_1;D32_2;D33_0;D33_1;D33_2;D33_3;D33_4;D33_5;D33B_0;D33B_1;D33B_2;D33B_3;D34_0;D34_1;D35;D36;D37_0;D37_1;D37_2;D38_0;D38_1;D38_2;D38_3;D39;D40_0;D40_1;D40_2;D41_0;D41_1
2720;2;2;1;4;45;2;2;1;5;4;8;2;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;1;2;3;75;1;;;;;30;3;;4;2;2;2;2;2;2;2;2;3;4;3;4;2;3;;;;1;45;2;3;4;3;0;6;2;5;3;1;1;;;;1;1;1;3;3;5;2;1;2;;;;;3;6;5;5;3;2;2;1;1;1;1;3;2;2;3;3;4
2721;2;2;2;2;31;10;2;1;5;1;1;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;8;2;2;1;2;3;1;1;1;3;0;;;;;;1;2;2;4;2;2;2;2;2;2;2;2;2;3;3;3;3;5;;;;1;31;10;3;1;0;0;5;1;1;3;2;2;;;;3;1;1;6;4;2;6;6;6;;;;;2;4;5;4;4;2;4;2;2;1;2;4;1;1;4;4;4
2722;2;2;2;4;51;6;4;2;4;2;1;5;7;2;;2;3;;2;1;39.0;2;2;2;2;1;2;2;2;1;1;2;9;2;3;2;2;3;3;1;1;1;70;1;;;;;2;3;2;4;2;2;2;2;2;2;2;2;2;1;1;1;1;5;;;;1;51;6;5;2;2;0;3;1;1;4;2;3;;;;3;3;3;1;3;3;6;6;1;;;;;3;3;4;3;3;2;2;2;2;3;2;4;1;1;4;3;3
2723;2;1;1;3;85;7;2;1;6;3;1;2;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;3;2;1;1;1;6;0;;;;;;0;3;;4;2;2;2;2;2;2;2;2;3;4;3;3;4;6;;;;1;85;7;4;4;2;0;6;3;4;3;5;3;;;;1;1;1;4;3;2;5;5;3;;;;;2;2;5;5;3;2;3;2;1;2;1;4;2;2;3;3;3
2724;2;1;2;8;40;9;2;1;4;3;1;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;2;3;30;1;;;;;0;3;2;1;2;2;2;2;2;1;2;2;3;3;3;3;4;3;;;;1;40;9;6;2;0;0;5;1;1;1;1;1;;;;1;1;1;4;3;6;6;6;5;;;;;5;5;5;5;2;1;1;1;1;1;1;4;3;2;3;4;4
2725;2;1;1;8;33;9;4;1;4;3;1;5;3;2;;2;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;9;1;2;1;1;1;1;1;2;4;30;4;;;;;0;3;;4;2;2;2;2;2;2;2;2;3;3;3;1;1;1;;;;1;33;9;4;4;0;0;3;1;1;2;2;1;1;1;1;;;;2;2;1;3;1;2;;;;;2;2;4;5;3;2;3;1;1;1;1;3;2;2;3;3;3
2726;2;2;2;3;86;9;1;3;2;2;1;8;6;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;4;0;;;;;;0;3;2;4;2;2;2;2;2;2;2;2;3;3;3;4;3;5;;;;1;86;9;6;5;3;0;6;1;1;3;3;1;;;;3;3;3;4;4;5;2;1;4;;;;;2;2;5;5;4;1;4;1;1;1;2;3;1;2;3;3;3
2727;2;1;2;10;95;1;1;7;7;5;1;3;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;3;1;2;1;2;2;3;15;5;;;;;2;2;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;95;1;5;1;0;0;3;1;2;2;1;1;;;;;;;;;;;;;5;;;5;3;3;5;4;2;1;1;1;1;2;1;4;2;1;3;4;4
2728;2;1;1;6;91;1;5;1;3;2;2;1;5;1;3;;3;;2;2;;2;2;2;1;2;1;2;1;1;2;2;9;2;2;3;1;3;2;1;2;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;2;3;3;3;1;1;3;;;;1;91;1;4;2;0;0;6;5;3;4;1;2;;;;1;1;1;1;5;2;2;2;5;;;;;2;3;6;5;2;2;2;4;3;2;4;4;3;3;2;1;1
2729;2;1;2;8;44;7;4;1;5;6;1;4;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;6;2;1;2;1;1;2;6;70;1;;;;;4;5;2;4;2;2;2;2;2;1;1;2;4;2;4;3;3;3;;;;1;44;7;5;3;1;0;3;5;5;2;1;1;;;;1;1;1;4;5;6;5;5;2;;;;;5;5;5;5;2;1;1;1;1;1;1;4;2;2;3;3;3
2730;2;1;1;3;35;8;2;1;6;2;3;10;2;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;2;6;4;510;4;;;;;10;2;;4;2;2;2;2;2;2;2;2;3;3;4;3;4;1;;;;1;35;8;3;3;1;0;4;5;5;3;5;2;1;1;1;;;;3;5;5;5;5;1;;;;;2;2;4;5;4;4;4;3;3;3;3;4;1;2;3;3;3
2731;2;2;2;4;30;10;1;1;4;1;8;7;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;2;1;2;1;1;6;2;480;4;;;;;100;1;2;2;2;2;2;2;2;2;2;2;4;3;4;3;3;1;8;;;1;30;10;5;1;1;0;6;1;1;2;5;1;1;1;2;;;;2;5;5;2;2;5;;;;;2;2;5;5;1;1;3;1;1;1;1;4;2;2;3;2;3
2732;2;3;2;10;53;7;2;7;7;3;1;9;2;2;;2;3;;2;2;;3;2;2;2;2;2;2;2;2;2;2;9;2;3;1;3;1;1;1;1;2;60;2;;;;;2;2;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;53;7;4;2;0;1;4;1;6;1;2;1;;;;;;;;;;;;;5;;;6;2;2;5;5;2;2;3;2;2;2;2;4;2;1;3;3;3
2733;2;1;1;4;33;9;4;1;4;7;8;6;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;3;6;1;3;1;1;1;2;6;60;1;;;;;1;3;;4;2;2;2;2;2;2;2;2;4;4;4;4;3;3;;;;1;33;9;4;2;0;0;6;5;6;2;1;1;;;;3;2;1;3;5;5;5;5;5;;;;;2;2;4;5;3;2;4;2;1;1;1;4;3;3;3;3;3
2734;2;1;1;7;13;12;4;1;3;7;9;2;10;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;1;1;1;1;2;2;0;;;;;;0;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;1;3;5;;1;13;12;5;3;0;0;5;3;1;2;2;2;1;1;1;1;1;1;1;3;5;5;5;5;;;;;2;2;5;5;1;1;2;1;1;1;1;3;3;3;3;3;3
2735;2;2;2;8;10;6;1;1;5;3;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;3;6;630;4;;;;;0;2;2;4;2;2;2;2;2;2;2;2;4;4;3;3;4;1;;;;1;10;6;3;2;0;0;5;1;1;3;1;2;3;1;1;;;;5;5;2;5;5;5;;;;;3;3;5;5;2;1;1;1;1;1;1;4;2;1;3;3;3
2736;2;1;1;1;64;9;4;4;4;1;1;8;7;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;2;2;1;2;5;60;1;;;;;2;3;;4;2;2;2;2;2;2;2;2;4;4;4;1;3;5;;;;1;64;9;6;2;1;0;6;1;2;1;1;1;;;;3;1;1;;;;;;;6;2;;2;2;1;3;5;3;1;4;1;1;1;1;3;2;2;2;2;3
2737;2;3;1;5;52;6;1;3;2;3;1;9;2;2;;2;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;8;1;2;4;1;4;1;1;4;4;390;4;;;;;30;3;;4;2;2;2;2;2;2;2;2;1;1;2;2;2;1;;;;1;52;6;8;4;2;0;4;1;1;1;1;1;1;1;1;;;;5;5;5;1;1;5;;;;;2;2;5;5;3;2;3;2;1;2;2;3;2;3;3;3;3
2738;2;2;2;5;34;10;3;2;4;3;8;3;1;2;;1;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;6;1;1;6;2;600;4;;;;;100;2;2;4;2;2;2;2;2;2;2;2;4;3;3;3;3;8;;;;1;34;10;5;5;3;0;6;1;2;2;2;1;1;1;3;;;;2;5;5;5;5;5;;;;;2;5;4;5;2;1;3;1;1;1;1;4;2;2;2;3;3
2739;2;1;1;4;17;9;4;1;6;7;1;3;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;8;1;1;1;1;1;1;1;1;2;120;1;3;;;;1;3;;4;2;2;2;2;2;2;2;2;3;3;4;4;4;5;;;;1;17;9;5;2;0;0;6;1;1;2;1;1;;;;1;1;1;4;3;5;5;5;5;;;;;1;3;5;5;2;1;2;1;1;1;1;4;2;2;3;4;3
2740;2;1;2;9;30;10;2;7;7;3;1;8;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;2;1;125;1;3;;;;1;2;2;4;2;2;2;2;2;2;1;2;3;2;3;4;3;;;;;1;30;10;5;2;0;0;5;1;1;2;1;1;;;;;;;;;;;;;2;;;5;3;2;5;5;2;1;2;1;1;1;1;4;2;2;3;4;4
2741;2;1;2;3;44;7;4;2;5;3;1;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;6;3;1;1;1;1;1;2;0;;;;;;0;2;1;4;2;2;2;2;2;2;2;2;4;3;4;3;3;3;;;;1;44;7;6;3;1;0;6;1;1;2;1;1;;;;3;3;3;4;3;6;5;6;5;;;;;3;3;5;5;4;1;3;1;2;1;1;3;2;2;3;2;2
2742;2;2;2;6;59;5;4;1;4;3;1;2;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;1;5;60;1;;;;;0;2;2;3;2;2;2;2;2;2;2;2;4;3;3;1;4;4;;;;1;59;5;5;5;2;0;6;1;1;1;2;1;;;;1;1;1;4;4;1;1;1;5;;;;;2;4;5;5;3;1;3;1;1;1;1;4;2;2;2;3;4
2743;2;2;2;7;62;5;4;4;8;3;8;10;6;2;;3;3;;2;2;;2;2;2;2;2;2;2;2;2;3;2;7;1;1;1;1;1;1;1;2;2;0;;;;;;0;4;2;4;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;62;5;5;5;0;0;1;5;3;2;3;2;;;;;;;;;;;;;3;6;;5;2;3;5;5;2;1;2;1;1;1;1;3;2;2;2;3;3
2744;2;2;2;5;71;3;1;1;4;2;1;4;2;2;;2;3;;2;2;;2;2;2;1;1;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;6;30;2;;;;;0;4;2;4;2;2;2;2;2;1;2;2;1;1;1;4;2;4;;;;1;71;3;3;2;0;0;5;1;1;4;6;1;;;;3;3;3;6;3;5;1;1;4;;;;;5;5;4;5;4;2;4;2;1;1;1;4;1;1;4;4;4
2745;2;2;2;2;74;11;3;1;5;2;9;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;2;2;50;1;;;;;0;1;2;1;2;2;2;2;2;2;2;2;3;3;3;4;3;1;;;;1;74;11;7;4;0;1;3;1;1;2;1;2;1;1;1;;;;5;2;5;3;4;1;;;;;3;3;4;5;1;1;1;1;1;1;1;3;2;1;2;3;3
2746;2;1;1;6;95;1;5;1;3;7;9;1;3;1;6;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;2;2;2;1;1;2;15;1;;;;;0;3;;4;3;2;2;2;2;2;2;2;3;3;3;3;3;3;;;;1;95;1;3;2;0;0;6;4;2;3;2;1;;;;3;3;1;4;5;5;6;6;6;;;;;1;1;4;5;3;2;3;1;1;1;1;4;2;2;3;4;4
2747;2;1;2;7;10;6;1;2;3;7;1;2;7;2;;2;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;8;1;1;2;1;1;1;1;3;3;300;4;;;;;0;4;2;4;2;2;1;2;2;2;2;2;4;4;4;4;4;1;;;;1;10;6;5;2;0;0;3;1;5;2;5;2;3;1;1;;;;4;6;6;4;6;6;;;;;2;2;5;5;2;1;3;2;1;1;1;4;1;2;4;4;4
2748;2;2;2;4;19;9;3;2;5;2;1;7;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;6;0;;;;;;2;1;2;1;2;2;2;2;2;2;2;2;3;4;4;4;2;4;;;;1;19;9;6;4;2;2;5;1;1;2;2;3;;;;3;3;3;6;6;6;1;1;6;;;;;2;2;5;5;2;1;2;1;1;1;1;4;2;3;3;3;3
2749;2;3;1;8;8;6;3;1;4;3;1;2;6;2;;2;3;;2;2;;2;1;2;2;2;2;2;2;2;2;2;8;2;2;1;1;2;1;1;3;2;510;4;;;;;30;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;8;6;5;2;0;0;5;1;1;3;2;5;1;1;1;;;;2;2;5;5;6;5;;;;;2;1;4;4;2;1;2;1;1;1;1;3;2;2;3;3;3
2750;2;1;1;7;29;8;4;5;8;3;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;3;2;9;1;1;1;1;1;1;7;1;2;60;2;;;;;0;3;;3;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;29;8;4;2;0;0;2;1;1;1;1;1;;;;;;;;;;;;;5;;;4;3;3;5;5;1;1;1;1;1;1;1;4;1;1;3;3;3
2751;2;1;1;6;62;5;4;1;4;2;6;3;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;3;2;3;1;1;1;2;5;600;4;;;;;0;2;;4;2;2;2;2;2;2;2;2;4;4;4;4;2;1;;;;1;62;5;4;2;0;0;6;1;2;2;6;1;3;1;1;;;;2;5;5;5;5;5;;;;;2;2;4;4;3;2;3;2;1;1;2;3;2;2;2;3;3
2752;2;2;2;1;67;6;4;8;8;1;1;3;5;3;;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;2;2;4;2;3;2;2;2;2;2;2;3;3;3;3;3;;;;;1;67;6;10;4;1;0;4;1;5;5;3;1;;;;;;;;;;;;;6;;2;4;5;6;5;3;2;2;2;1;1;1;1;4;1;1;3;4;4
2753;2;3;2;10;76;4;4;7;7;5;1;8;7;3;;;3;;2;2;;2;2;3;2;2;2;2;2;2;2;2;10;1;6;1;1;6;5;1;7;2;0;;;;;;0;5;2;4;2;2;2;2;2;2;2;2;3;3;3;3;3;;;;;1;76;4;3;1;0;0;3;5;1;4;1;1;;;;;;;;;;;;;5;;;4;3;3;5;5;2;1;2;1;1;1;1;4;2;1;4;4;4
2754;2;2;1;2;38;11;4;1;5;7;6;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;1;1;1;1;2;30;2;;;;;0;2;;4;2;2;2;2;2;2;2;2;4;4;4;3;3;5;;;;1;38;11;5;2;1;0;4;1;5;3;1;1;;;;1;1;1;6;5;6;5;5;2;;;;;2;1;5;5;1;1;2;1;2;1;1;4;2;1;2;4;4
2755;2;3;2;7;29;8;4;1;5;5;8;2;1;2;;2;2;;2;2;;1;2;2;2;2;2;2;2;2;2;2;10;1;1;3;1;5;1;6;6;2;750;4;;;;;50;3;2;4;2;2;2;2;2;2;2;2;3;2;2;3;2;1;;;;1;29;8;7;2;0;0;3;4;1;2;1;1;1;1;1;;;;5;5;2;1;1;1;;;;;3;3;4;5;2;2;3;1;1;1;1;3;4;2;3;3;3
2756;2;1;2;6;85;7;3;1;6;5;8;1;7;2;;2;3;;2;2;;2;2;3;2;3;2;2;2;2;3;3;8;1;1;1;1;2;1;1;1;1;480;4;;;;;12;2;2;4;2;2;1;2;2;2;2;2;3;2;2;3;2;1;;;;1;85;7;4;3;0;0;6;1;2;2;2;1;1;1;1;;;;5;3;2;2;2;3;;;;;2;3;3;4;3;1;3;1;1;1;1;3;2;2;2;4;4
2757;2;3;2;4;77;1;5;3;2;3;1;6;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;1;2;1;1;1;4;35;1;;;;;1;2;2;4;2;2;2;2;2;2;2;2;4;3;4;4;3;2;;;;1;77;1;7;5;3;0;4;1;1;3;2;2;;;;;;;6;1;6;2;1;6;;;;;2;3;5;5;3;1;3;2;1;1;1;4;2;2;4;3;3
2758;2;1;2;1;66;10;1;8;8;1;1;3;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;1;1;1;2;2;150;1;2;;;;2;2;2;4;2;2;2;2;2;2;2;2;4;3;4;3;4;;;;;1;66;10;12;4;1;0;4;6;6;4;1;2;;;;;;;;;;;;;6;;1;3;2;3;6;4;2;1;1;1;1;1;1;4;1;1;4;4;3
2759;2;1;2;9;50;4;1;7;7;3;1;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;4;1;1;1;1;1;2;5;105;1;;;;;2;2;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;50;4;7;2;0;0;4;1;1;2;1;1;;;;;;;;;;;;;5;;;5;2;1;5;5;2;1;2;1;1;1;1;4;1;2;4;4;4
2760;2;1;1;2;3;11;1;1;6;3;1;2;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;1;600;4;;;;;10;2;;4;2;2;2;2;2;2;2;2;3;3;3;3;3;1;;;;1;3;11;5;2;1;0;6;2;2;2;2;2;1;1;1;;;;3;3;2;3;5;3;;;;;3;3;4;1;2;2;2;1;1;1;1;4;2;2;3;3;3
2761;2;1;2;9;37;2;4;7;7;3;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;2;2;120;3;;;;;1;2;2;4;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;37;2;5;2;0;0;4;1;5;2;1;3;;;;;;;;;;;;;5;;;4;2;3;5;5;2;2;3;2;1;1;1;4;3;3;2;4;4
2762;2;1;2;2;94;1;5;8;8;1;1;5;2;1;3;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;1;1;0;;;;;;0;5;2;4;2;2;2;2;2;2;2;2;1;1;1;1;1;;;;;1;94;1;6;6;0;1;6;1;1;3;1;1;;;;;;;;;;;;;5;;5;3;2;1;5;3;1;1;1;1;1;1;1;4;2;2;2;4;4
2763;2;2;2;1;77;1;2;2;5;2;10;5;9;3;;;1;;2;2;;3;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;1;1;6;1;3;0;;;;;;1;5;2;4;3;3;3;3;3;3;3;3;4;4;4;4;4;2;;;;1;77;1;;2;1;0;4;6;6;6;6;6;;;;;;;5;5;5;5;5;5;;;;;2;2;6;3;2;2;2;3;3;3;3;3;3;3;3;3;3
2764;2;1;1;7;33;9;3;1;6;3;2;10;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;3;60;1;;;;;0;2;;4;2;2;2;2;2;2;2;2;4;3;3;4;3;1;;;;1;33;9;6;5;3;0;4;2;2;2;2;2;1;1;1;;;;2;3;5;5;5;5;;;;;3;3;3;5;2;1;3;1;1;1;1;3;2;2;2;3;3
2765;2;3;2;9;34;10;2;7;7;6;1;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;1;60;2;;;;;1;3;2;4;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;;1;34;10;5;1;0;1;2;1;1;2;1;1;;;;;;;;;;;;;5;;;5;2;1;5;5;2;1;4;1;1;1;1;4;1;2;3;4;4
2766;3;1;1;6;79;9;2;1;5;3;7;4;9;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;2;1;1;1;2;3;510;4;;;;;0;2;;4;2;2;2;2;2;2;2;2;3;3;3;3;3;1;3;;;1;79;9;5;5;2;0;4;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;;;;;2;2;3;5;2;2;2;2;2;2;2;3;2;2;2;2;2
2767;3;2;1;1;87;9;4;8;8;1;4;1;11;2;;2;3;;2;2;;2;2;2;2;3;2;2;2;2;2;2;7;2;7;2;2;2;2;2;2;2;0;;;;;;4;5;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;87;9;6;4;2;0;4;1;1;1;1;1;;;;;;;;;;;;;2;;2;3;2;3;5;2;4;4;4;4;4;4;4;3;2;3;2;3;3
2768;3;1;2;7;67;6;4;2;5;3;6;1;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;6;1;1;1;1;1;2;6;60;1;;;;;0;3;2;4;2;2;2;2;2;2;2;2;3;4;4;3;3;5;;;;1;67;6;3;2;0;2;3;5;1;1;5;1;;;;3;3;3;4;3;1;2;2;6;;;;;2;2;5;5;2;1;1;1;1;1;1;4;2;2;3;3;3
2769;3;1;2;4;44;7;1;5;8;5;1;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;6;1;2;2;1;2;4;4;720;4;;;;;10;3;2;1;2;2;2;2;2;2;2;2;3;4;4;4;3;;;;;1;44;7;6;3;2;0;6;1;1;1;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;3;2;4;2;1;1;1;4;2;2;3;2;2
2770;3;1;2;4;78;1;5;6;8;2;6;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;3;6;6;6;1;1;6;1;6;0;;;;;;0;1;2;4;2;2;2;2;2;2;2;2;1;4;4;1;3;;;;;1;78;1;3;5;3;0;5;5;1;5;5;3;;;;;;;;;;;;;5;;;6;3;3;5;5;3;1;3;1;1;1;1;4;2;2;3;4;4
2771;3;1;2;7;58;3;1;1;4;5;3;1;4;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;10;1;6;1;1;2;1;1;2;6;140;1;5;;;;15;2;2;1;2;2;2;2;2;2;2;2;3;4;4;4;3;8;;;;1;58;3;5;3;1;0;4;1;2;2;1;4;1;1;1;;;;5;4;5;5;5;5;;;;;5;5;4;3;3;1;3;1;1;1;1;4;1;1;4;4;4
2772;3;1;2;9;62;5;4;5;8;3;3;8;6;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;4;3;3;2;1;1;4;0;;;;;;0;2;2;4;2;2;3;2;2;1;2;2;1;1;1;1;1;;;;;1;62;5;9;2;0;0;3;1;6;4;6;1;;;;;;;;;;;;;4;;;4;3;5;6;5;1;1;4;1;1;1;1;1;4;4;1;3;3
2773;3;1;1;6;38;11;2;1;5;2;6;4;5;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;2;1;1;6;2;60;1;;;;;0;2;;1;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;38;11;5;3;0;0;4;1;1;1;1;1;1;1;1;;;;5;3;5;5;6;5;;;;;2;2;5;5;1;1;1;1;1;1;1;4;3;2;3;3;3
2774;3;2;1;3;74;11;2;1;4;7;1;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;2;1;1;3;6;360;1;4;;;;15;2;;4;2;2;2;2;2;2;2;2;4;4;4;3;4;1;3;;;2;74;11;4;2;2;0;5;1;1;3;5;1;3;1;1;3;1;1;4;5;6;1;2;5;;;;;2;1;5;4;2;1;4;3;1;1;4;4;1;1;4;4;4
2775;3;2;2;2;53;7;2;3;2;2;4;1;6;2;;3;3;;2;2;;3;2;2;2;2;2;2;2;1;2;1;9;1;2;1;2;2;1;1;1;3;180;1;;;;;10;4;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;2;;;;1;53;7;5;2;1;0;4;1;3;2;2;1;;;;;;;4;4;6;2;2;5;;;;;5;5;5;5;3;1;3;1;1;1;2;4;1;2;2;3;3
2776;3;1;2;1;67;6;2;1;5;2;3;7;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;3;1;2;4;2;2;2;5;60;3;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;4;4;3;3;1;3;;;1;67;6;3;4;0;0;6;3;3;2;2;2;2;1;1;2;2;1;5;5;5;2;2;2;;;;;2;2;4;4;2;2;2;2;2;3;3;3;2;2;3;2;2
2777;3;1;1;7;3;11;3;1;5;3;1;2;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;2;4;1;1;1;3;2;420;4;;;;;0;3;;4;2;2;2;2;2;2;2;2;4;2;3;4;3;1;;;;1;3;11;4;5;2;0;4;1;1;1;1;2;1;1;1;;;;3;5;5;5;5;5;;;;;3;3;4;5;2;1;3;1;1;1;2;3;2;1;3;3;3
2778;3;1;1;2;85;7;2;4;5;2;4;1;3;3;;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;2;0;;;;;;0;2;;4;3;2;2;2;2;2;2;2;3;3;3;2;2;2;;;;1;85;7;5;2;0;0;5;1;1;3;1;1;;;;;;;;;;;;;5;5;;5;4;4;3;5;1;1;1;1;1;1;1;4;2;1;3;3;3
2779;3;3;2;9;85;7;2;7;7;3;1;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;6;1;1;1;1;2;2;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;3;3;4;4;;;;;1;85;7;10;2;0;0;7;1;6;3;2;1;;;;;;;;;;;;;5;;;3;3;3;5;5;2;1;2;1;1;1;1;4;2;2;3;4;4
2780;3;1;2;3;59;5;4;3;3;7;8;4;7;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;6;1;4;1;1;1;1;1;2;5;60;1;;;;;0;5;2;1;3;2;2;2;2;2;2;2;3;3;4;3;4;2;;;;1;59;5;5;2;0;0;6;1;2;1;1;1;;;;;;;5;3;5;2;2;5;;;;;2;2;6;3;2;1;3;1;1;1;1;4;2;2;3;3;3
2781;3;1;1;5;57;6;3;1;5;3;1;2;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;2;;1;2;2;2;2;2;2;2;2;3;3;2;3;4;3;;;;1;57;6;4;3;1;0;5;1;1;1;1;2;;;;1;1;1;2;3;2;5;5;3;;;;;3;4;6;1;1;1;4;1;1;1;1;4;1;4;4;4;4
