SERIAL;JOUR;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A7_0;A7_1;A7_2;A7_3;A7_4;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;ALEA;D1;D2;D3;D4_0;D4_1;D4_2;D5;D6
40;1;1;2;9;68;6;3;7;7;2;1;8;5;1;2;2;;1;38.9;3;2;1;1;1;1;1;1;2;1;9;1;1;1;1;1;1;1;1;5;0;;;;;;0;4;2;1;2;2;2;2;1;1;3;1;1;1;1;;;;;1;68;6;4;1;0;1;3;2;1;1;2;1;1;1;1;1
41;1;2;2;4;36;2;2;6;8;3;1;8;2;1;2;1;2;1;38.5;1;2;1;1;1;2;1;1;1;1;10;1;2;2;1;6;6;1;1;2;0;;;;;;2;3;2;2;2;1;2;2;2;1;2;1;1;1;1;;;;;1;36;2;4;6;4;0;4;2;1;1;2;2;1;2;1;1
42;1;1;1;4;91;1;5;1;4;3;1;10;8;1;3;1;;1;37.6;1;2;1;1;1;2;2;1;2;2;9;1;2;1;1;2;1;1;1;6;0;;;;;;0;4;;2;2;2;2;2;2;2;2;1;1;2;2;4;;;;1;91;1;4;4;2;0;6;2;1;4;1;1;1;1;1;1
43;1;2;1;2;87;9;4;3;2;1;8;1;2;2;;2;;2;;1;2;2;2;2;2;1;2;2;2;8;2;2;2;1;3;1;1;1;6;0;;;;;;1;4;;2;2;2;3;2;2;1;2;4;4;4;4;5;;;;1;87;9;4;2;0;0;5;1;1;4;1;2;1;2;1;1
44;1;1;1;3;69;11;4;1;3;2;5;2;1;1;2;3;;2;;2;1;2;2;2;1;2;2;1;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;2;3;;2;2;1;2;2;2;2;2;3;3;2;3;2;;;;1;69;11;3;2;0;0;5;1;3;3;2;2;2;2;2;2
45;1;3;1;5;49;7;2;1;4;3;1;8;6;2;;2;;2;;2;2;2;2;2;2;2;2;2;2;10;2;2;2;1;1;1;1;2;2;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;1;;;;1;49;7;8;4;2;0;6;2;1;2;3;1;1;1;1;1
46;1;2;2;2;60;5;1;1;5;7;1;8;6;1;2;2;;2;;1;2;2;2;1;2;2;2;2;2;10;2;2;1;1;1;1;1;1;3;20;2;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;1;60;5;5;2;1;0;4;1;5;3;3;2;1;3;1;1
47;1;1;1;6;92;1;5;1;5;3;8;3;1;2;;2;;2;;2;2;2;2;2;2;2;2;2;2;9;1;1;2;1;6;1;4;6;1;510;1;4;;;;200;2;;2;2;1;2;2;2;2;2;1;2;2;2;1;;;;1;92;1;2;2;0;0;3;2;5;5;3;1;1;1;1;1
48;1;1;2;1;1;11;3;1;3;1;3;4;10;2;;2;;2;;2;2;2;1;2;2;2;2;2;2;6;1;5;4;1;4;4;2;1;6;120;1;2;;;;1;2;2;2;2;2;2;2;2;2;2;1;2;4;2;5;;;;1;1;11;5;2;0;0;5;2;2;2;2;2;2;2;1;1
49;1;1;1;10;54;6;3;7;7;3;1;10;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;2;2;2;1;1;1;1;1;6;40;1;;;;;0;2;;1;2;2;2;2;2;2;2;3;3;3;4;;;;;1;54;6;5;2;0;0;5;2;1;1;2;1;1;1;1;1
50;1;2;1;1;84;12;2;2;6;1;8;10;11;2;;1;2;2;;2;2;2;2;1;2;2;2;2;2;8;2;1;2;3;4;1;1;4;4;600;4;;;;;0;2;;2;2;2;2;2;2;2;2;1;1;4;1;1;;;;1;84;12;5;4;0;4;5;2;3;4;1;2;2;2;1;2
51;1;3;2;8;83;12;4;1;4;3;1;6;10;2;;1;;2;;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;2;2;2;2;3;0;;;;;;1;2;2;2;2;2;2;2;2;2;2;4;3;4;4;1;;;;1;83;12;5;2;0;0;6;2;5;5;3;1;1;1;1;1
52;1;1;1;1;69;11;4;1;4;2;4;1;9;2;;3;;2;;2;2;2;1;1;2;1;2;1;2;9;1;2;2;2;1;2;2;1;3;0;;;;;;0;1;;2;2;3;2;2;2;2;2;1;3;2;1;5;;;;1;69;11;4;4;2;0;5;2;2;3;3;2;3;3;1;1
53;1;1;2;1;67;6;4;8;8;2;10;3;1;2;;2;;2;;2;2;2;1;2;2;2;2;2;2;9;1;3;3;2;1;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;3;3;2;;;;;2;67;6;6;3;0;0;6;1;2;2;2;1;1;1;1;1
54;1;2;1;4;74;11;2;1;5;3;11;11;11;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;3;0;;;;;;0;2;;2;2;1;2;2;2;2;2;4;4;4;4;5;;;;1;74;11;3;4;2;0;5;1;2;3;1;1;1;1;1;1
55;1;1;1;7;63;11;1;1;6;1;5;8;4;1;5;2;;2;;2;2;2;1;1;2;2;1;1;1;10;1;1;1;1;1;1;1;1;4;0;;;;;;0;2;;2;2;2;2;2;2;2;2;2;2;1;2;5;;;;1;63;11;5;1;0;0;4;1;1;2;1;1;1;1;1;1
56;1;1;1;8;35;8;4;1;3;7;5;4;1;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;6;4;1;1;1;1;1;4;0;;;;;;0;4;;2;2;2;2;2;2;3;3;4;4;4;4;3;;;;1;35;8;4;3;0;0;6;1;3;3;1;1;1;1;1;3
57;1;1;1;4;54;6;3;1;5;7;7;4;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;2;3;4;2;2;1;1;1;6;12;5;;;;;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;7;;;;1;54;6;5;3;1;0;4;1;2;2;3;2;3;2;1;3
58;1;1;2;4;92;1;5;1;3;1;8;3;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;2;2;4;2;1;1;2;2;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;3;3;3;3;;;;1;92;1;2;1;0;0;6;1;3;3;1;1;1;1;1;1
59;1;1;1;3;62;5;3;3;3;3;1;2;7;2;;2;;2;;1;2;2;2;1;2;2;2;2;2;9;2;2;2;1;1;1;1;2;2;30;1;;;;;0;2;;2;2;2;2;2;2;2;2;3;2;3;3;7;;;;1;62;5;6;6;4;0;3;1;5;5;3;1;1;1;1;1
60;1;1;2;7;63;11;2;1;5;5;7;5;9;2;;2;;2;;2;2;2;2;1;2;2;2;2;2;6;3;4;3;3;3;3;3;3;3;0;;;;;;1;4;2;2;2;2;2;2;1;2;2;2;2;2;3;1;;;;1;63;11;4;1;0;0;4;1;2;2;3;2;2;1;1;1
