SERIAL;JOURV7;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B5Q;B5AQ;B5BQ;B5CQ;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;C11;D60A;D60;D61;D62_0;D62_1;D62_2;D63;ALEAD65;D65;D66;ALEAD70;D70;D71;D67;D68_0;D68_1;D68_2;D68_3;D68_4;D68_5;D68_6;D68_7;D68_8;D69_0;D69_1;D69_2;D69_3;D69_4;D69_5;D69_6;D69_7
1072;2;2;1;5;31;10;4;1;5;2;1;5;2;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;3;1;720;5;;;;0;11;0;3;;2;2;2;2;2;3;2;2;4;4;4;4;1;;;;1;31;10;3;2;1;0;3;;6;1;1;2;3;2;2;2;;2;2;;2;2;2;3;4;4;2;4;2;4;4;2;2;2;2;2;2;2;2
1073;2;2;2;3;7;11;2;4;5;1;2;6;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;3;2;4;1;1;1;3;2;0;0;;;;1;2;0;2;2;2;2;2;2;2;2;2;2;3;2;3;3;5;;;;1;7;11;1;1;0;0;5;5;6;1;1;3;2;2;2;1;3;;1;5;;2;2;3;3;3;3;3;3;3;3;2;1;2;1;1;1;1;1
1074;2;2;2;3;14;4;2;2;4;3;8;3;10;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;1;1;1;1;2;2;840;0;;;;2;2;7;2;2;2;2;2;2;2;2;2;2;4;3;4;4;1;;;;1;14;4;6;1;1;0;5;5;3;1;1;2;3;2;2;1;3;;1;2;;2;2;2;3;2;2;2;2;3;2;2;4;2;1;2;3;5;2
1075;2;1;1;6;34;10;4;1;4;2;6;5;4;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;6;3;3;1;4;2;4;1;4;4;420;50;;55;;1;1;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;34;10;4;2;0;0;4;;6;2;1;2;3;2;2;2;;3;2;;3;1;1;2;2;2;2;2;2;2;2;4;4;4;4;4;5;4;5
1076;2;1;1;7;94;1;5;1;4;3;10;6;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;3;4;2;1;1;1;1;2;4;30;0;;;;5;0;20;3;;2;2;2;2;2;2;2;2;4;4;4;4;1;3;;;1;94;1;8;4;0;0;5;1;4;2;2;2;4;2;2;2;;3;2;;2;2;1;2;2;3;2;2;2;2;3;3;5;5;3;4;4;4;5
1077;2;1;2;3;1;11;4;1;3;3;1;2;7;1;2;;3;;2;2;;2;1;2;2;2;2;2;2;2;2;2;8;1;1;2;1;1;1;1;2;2;480;7;;38;60;0;0;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;;;;1;1;11;3;3;1;0;6;1;2;1;1;1;3;3;2;2;;1;1;2;;2;1;2;2;4;3;4;2;3;4;1;1;1;1;1;1;1;1
1078;2;2;1;8;6;12;4;2;5;3;2;4;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;3;3;3;3;2;3;3;3;120;3;;;;0;7;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;6;12;5;2;0;1;5;5;5;2;3;2;2;2;2;2;;3;1;2;;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2
1079;2;1;2;7;93;1;5;1;4;3;1;2;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;2;1;1;3;3;90;0;;;;2;3;0;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;5;;;1;93;1;4;2;0;0;6;4;6;2;1;2;3;2;2;2;;3;2;;5;2;1;2;2;3;2;2;2;2;3;3;3;3;3;3;2;3;3
1080;2;1;2;7;75;1;5;1;3;1;1;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;2;1;2;2;1;110;5;;;;1;0;0;2;2;2;2;2;2;2;2;2;2;3;3;3;4;2;3;;;1;75;1;1;1;0;0;6;5;6;2;1;2;3;2;2;2;;3;2;;2;2;2;3;3;4;3;3;3;4;3;4;4;4;2;4;2;2;2
1081;2;1;2;1;60;5;1;8;8;1;4;3;8;1;3;;1;;1;2;;2;1;2;1;2;2;2;2;2;2;2;5;1;1;1;1;4;3;3;3;1;0;1;50;;;1;7;0;4;2;2;2;2;2;2;2;2;2;3;3;2;2;;;;;1;60;5;6;1;0;0;4;;4;1;1;1;2;2;2;1;3;;1;1;;2;2;2;2;2;2;2;2;2;3;3;4;2;2;2;1;3;1
1082;2;3;2;10;59;5;4;7;7;3;4;1;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;3;2;2;9;7;1;1;1;1;5;5;1;1;120;0;;;;0;8;0;3;2;1;2;2;2;2;2;2;3;4;4;4;4;;;;;1;59;5;5;2;0;2;3;;4;1;1;1;4;1;1;2;;3;1;4;;2;2;2;2;4;2;3;2;3;3;1;1;2;2;3;2;2;2
1083;2;1;2;5;26;11;4;2;5;7;1;10;2;1;2;;1;2;2;2;;2;2;1;2;2;2;2;2;2;2;2;9;1;2;1;1;2;1;2;2;2;450;100;;30;30;0;0;0;2;2;2;2;2;2;2;2;2;2;3;3;3;3;1;;;;1;26;11;5;4;0;0;1;;6;1;1;3;2;2;2;1;3;;2;;3;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3
1084;2;1;1;8;34;10;1;5;8;1;2;4;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;3;1;1;1;1;1;2;60;0;;;;0;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;34;10;4;2;1;0;3;;2;1;1;3;2;2;1;2;;3;2;;3;2;3;3;3;3;3;3;3;3;3;2;2;1;1;1;2;2;1
1085;2;1;2;10;62;5;3;7;7;6;4;8;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;3;1;3;1;4;1;2;3;0;0;;;;1;1;0;1;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;62;5;4;1;0;1;3;;6;1;1;2;3;1;2;1;3;;2;;5;2;1;2;2;2;2;2;1;2;2;2;3;1;3;2;3;4;4
1086;2;2;2;4;47;9;3;1;4;1;8;1;2;2;;1;3;;2;1;38.5;2;2;2;1;2;2;1;2;1;2;2;9;1;1;1;1;2;1;2;2;2;60;1;50;;;1;2;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;1;;;;1;47;9;5;1;0;0;6;3;5;2;1;2;4;2;2;1;3;;1;3;;2;1;2;2;2;2;2;2;3;3;3;2;2;2;2;4;3;4
1087;2;2;1;7;91;1;5;1;3;3;3;6;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;2;2;1;1;3;1;30;0;;;;0;1;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;2;3;;;1;91;1;5;4;1;0;6;1;3;2;1;2;3;2;1;1;3;;2;;3;2;2;2;2;3;2;2;2;2;3;2;3;3;1;3;3;2;3
1088;2;1;2;6;7;11;1;6;8;3;3;4;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;3;2;10;3;;;;2;0;0;3;2;2;2;1;2;2;2;2;2;3;4;4;4;;;;;1;7;11;6;6;4;0;5;1;6;1;1;2;3;2;2;2;;3;1;4;;1;2;2;2;2;2;2;2;2;2;4;4;2;2;2;2;4;2
1089;2;1;1;5;95;1;5;1;3;2;3;8;4;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;1;1;1;2;1;45;0;;;;1;0;0;2;;2;2;1;2;2;2;2;2;3;3;4;3;3;;;;1;95;1;3;2;0;0;5;1;3;1;2;3;2;1;2;2;;2;1;3;;2;2;2;3;3;2;2;3;4;3;2;2;2;2;2;2;2;1
1090;2;1;2;7;29;8;1;1;5;3;8;5;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;2;1;1;2;1;270;0;;;;0;0;5;3;2;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;29;8;6;7;1;0;5;5;6;1;1;1;3;3;1;2;;3;1;1;;2;2;3;3;3;3;3;3;3;3;2;2;2;1;1;1;1;2
1091;2;1;2;10;26;11;4;7;7;3;3;4;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;1;2;7;2;2;4;3;2;1;2;3;2;150;6;;30;90;2;4;0;2;2;2;2;2;2;2;2;2;2;4;3;4;4;;;;;1;26;11;6;2;0;2;4;;6;2;1;3;2;2;2;1;2;;2;;3;2;2;3;3;3;2;3;3;3;3;2;2;1;2;1;1;2;2
1092;2;1;2;8;50;4;1;1;5;2;4;1;5;2;;2;3;;2;2;;2;2;1;2;1;2;2;1;1;1;2;9;2;2;2;1;2;1;1;2;2;165;10;;;45;0;0;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;3;;;1;50;4;4;1;0;0;4;;6;2;1;4;2;1;2;2;;3;2;;4;2;3;3;3;4;4;3;4;4;4;4;3;1;3;2;1;2;2
1093;2;1;2;1;6;12;4;8;8;1;1;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;1;0;0;;;;0;0;0;2;2;2;2;2;2;2;2;2;2;3;3;4;4;;;;;1;6;12;1;1;0;0;6;1;6;1;1;1;3;4;1;2;;3;2;;1;2;3;3;3;3;3;3;3;3;3;2;3;2;2;2;2;3;3
1094;2;2;2;5;55;6;1;4;5;3;2;8;9;1;5;;3;;2;2;;2;2;2;2;1;2;2;2;2;1;2;5;1;3;1;1;1;1;1;3;5;60;0;;;;1;0;0;2;2;2;2;2;2;2;2;2;2;3;1;1;2;5;;;;1;55;6;6;3;2;0;3;;6;2;1;4;2;1;1;1;3;;1;4;;2;2;3;2;3;2;3;2;2;2;1;1;1;1;1;1;3;4
1095;2;2;2;3;62;5;1;4;5;7;7;5;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;10;1;1;1;2;1;1;1;1;2;120;10;;55;26;1;1;0;3;2;2;2;2;2;2;2;2;2;4;4;3;4;7;;;;1;62;5;4;4;2;0;5;5;6;1;1;1;4;1;1;1;3;;1;5;;2;1;4;4;4;4;4;4;4;4;1;5;4;3;2;2;4;4
1096;2;1;1;10;18;2;3;7;7;3;1;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;2;1;1;6;2;2;120;10;;50;;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;18;2;5;2;0;2;4;;6;1;1;2;3;2;1;1;3;;1;3;;1;1;2;2;2;2;2;2;3;3;2;3;2;2;5;2;2;2
1097;2;2;2;5;13;12;4;1;4;3;1;5;3;2;;2;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;3;3;1;2;1;1;3;3;150;50;;;;2;2;0;4;2;2;3;2;2;2;1;2;2;3;4;3;3;5;;;;1;13;12;5;4;2;0;5;4;1;2;1;2;2;1;2;1;3;;2;;3;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2
1098;2;1;1;10;50;4;2;7;7;5;2;1;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;4;4;1;2;1;1;1;4;60;0;;;;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;50;4;4;1;0;1;5;1;2;1;1;1;3;2;1;2;;3;2;;3;2;2;3;2;4;3;3;2;2;4;3;3;3;2;2;3;2;3
1099;2;2;2;2;74;11;1;4;5;2;1;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;3;3;3;3;3;3;180;3;;;;4;0;0;1;2;2;2;2;2;2;2;2;2;3;3;4;3;7;;;;1;74;11;4;3;1;0;4;;6;1;1;2;2;2;1;2;;3;2;;1;2;2;2;3;4;3;3;3;2;4;4;5;4;3;3;2;3;5
1100;2;1;1;6;18;2;3;6;8;1;5;1;4;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;60;2;;40;60;5;7;0;4;;2;2;2;2;2;3;3;3;3;3;3;4;;;;;1;18;2;3;1;0;0;5;4;3;1;1;1;4;4;2;2;;1;2;;3;2;2;2;2;2;2;2;2;2;3;2;2;3;3;2;2;3;2
1101;2;2;2;1;87;9;4;2;5;1;4;3;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;3;2;1;1;3;2;1;2;2;720;6;;24;21;1;1;1;2;2;2;2;2;2;2;2;1;2;4;1;1;4;1;;;;1;87;9;3;1;0;0;4;;2;1;1;2;3;3;2;1;3;;1;3;;2;1;3;2;3;1;1;1;4;3;1;1;1;1;1;1;1;3
1102;2;1;1;5;40;9;3;1;4;2;7;1;3;2;;4;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;6;2;2;2;2;2;2;2;3;3;180;4;;50;44;4;0;2;2;;2;2;3;2;2;2;2;2;3;3;3;3;3;;;;1;40;9;3;2;0;0;3;;6;1;2;3;2;1;2;2;;3;2;;3;2;2;2;2;3;2;3;3;3;3;3;4;3;3;3;3;3;3
1103;2;2;2;3;25;3;4;2;4;2;7;4;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;1;2;1;2;1;3;2;3;420;5;;12;52;3;2;3;2;2;2;2;2;2;2;2;2;2;3;3;4;3;8;;;;1;25;3;4;4;2;0;6;3;2;1;1;2;3;2;2;1;3;;1;3;;2;2;3;3;3;2;3;4;3;3;4;4;4;3;2;2;3;4
1104;2;1;1;5;9;10;3;1;3;3;8;10;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;1;1;1;1;2;3;60;0;;;;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;9;10;7;4;2;0;6;5;2;1;1;2;3;2;1;2;;2;2;;3;2;1;4;2;4;3;4;2;4;4;1;2;2;1;1;1;2;4
1105;2;1;1;5;75;1;5;1;4;3;3;4;7;1;6;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;5;5;3;1;1;1;2;4;120;0;;;;2;0;0;4;;1;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;75;1;3;4;2;0;6;1;6;2;1;3;3;1;2;1;2;;1;4;;1;1;2;3;4;3;3;3;4;3;2;4;3;3;2;3;1;5
1106;2;1;2;10;54;6;4;7;7;5;10;1;8;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;2;1;1;1;1;2;120;3;;;;1;0;0;5;2;2;2;2;2;2;2;1;1;4;4;4;4;;;;;1;54;6;4;2;0;1;5;4;4;2;1;1;3;3;1;1;3;;1;2;;2;1;1;3;3;2;4;1;3;4;2;1;2;1;1;1;4;3
1107;2;2;2;3;76;4;1;1;5;7;6;8;1;2;;2;3;;2;2;;2;2;2;2;1;1;2;1;2;2;2;5;1;1;1;1;3;3;1;3;2;300;2;;24;30;6;0;12;2;2;2;2;2;2;2;2;2;2;3;3;4;3;5;;;;1;76;4;4;2;1;0;5;3;3;1;1;1;3;2;2;1;3;;2;;1;1;3;3;2;2;2;2;3;2;2;2;2;2;1;1;2;1;2
1108;2;2;2;5;42;11;3;4;5;2;3;7;2;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;1;2;9;1;4;1;5;1;1;1;2;2;110;1;34;;;1;0;0;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;;;;1;42;11;3;3;2;0;6;5;4;1;1;1;3;3;2;1;3;;1;1;;2;2;2;2;3;1;2;2;2;3;3;4;4;4;1;5;4;4
1109;2;1;1;10;2;5;2;7;7;3;6;5;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;3;3;5;5;2;1;6;2;2;90;30;;;;0;1;0;4;;2;2;2;2;2;1;2;2;4;4;4;1;;;;;1;2;5;5;3;1;0;4;;4;1;1;2;2;4;1;1;3;;1;1;;2;2;2;2;3;3;3;3;2;2;5;5;3;4;5;4;5;3
1110;2;2;2;4;76;4;3;6;8;3;1;7;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;2;1;1;1;2;2;120;40;;61;55;0;5;0;2;2;2;2;2;2;1;1;2;2;3;3;3;3;;;;;1;76;4;8;4;2;0;7;;4;2;1;1;3;2;1;1;3;;1;4;;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4
1111;2;2;1;9;67;6;1;7;7;3;6;1;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;1;1;6;1;1;30;2;;58;58;0;0;0;4;;1;2;2;2;2;1;2;2;4;4;4;4;;;;;1;67;6;8;2;0;0;2;;6;1;1;3;2;1;2;1;1;;1;2;;2;1;2;2;2;4;2;1;3;3;1;2;2;1;1;2;2;2
1112;2;1;1;3;78;1;5;1;3;3;7;3;8;1;4;;2;;2;2;;1;3;1;2;2;2;2;2;2;3;2;4;2;2;1;2;2;3;1;3;4;0;2;;25;12;0;4;3;2;;2;2;3;2;2;2;2;2;4;4;3;1;1;3;;;1;78;1;7;3;1;0;6;1;6;1;1;2;2;3;2;2;;3;2;;3;2;1;1;1;2;1;1;1;4;1;3;3;2;1;2;2;3;2
1113;2;1;1;10;33;9;4;7;7;3;8;9;6;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;1;1;2;7;1;2;1;1;1;1;1;2;2;240;0;;;;0;5;0;3;;2;2;2;2;2;2;2;2;4;3;3;4;;;;;1;33;9;6;2;0;2;6;2;5;1;2;3;2;1;1;2;;2;2;;2;2;2;4;4;3;2;3;2;4;4;1;1;1;1;1;1;2;1
1114;2;1;2;10;47;9;1;7;7;4;1;10;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;2;2;1;150;10;;;;2;1;0;3;2;2;2;2;2;2;1;2;2;4;3;3;4;;;;;1;47;9;4;1;0;1;3;;6;2;1;2;3;2;2;2;;3;2;;4;2;1;3;3;4;3;3;3;2;3;1;2;1;2;1;2;2;1
1115;2;3;1;10;29;8;2;7;7;5;3;1;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;5;3;1;3;1;2;2;3;60;0;;;;3;0;0;3;;2;2;2;2;2;2;2;2;3;4;3;3;;;;;1;29;8;3;1;0;0;3;;2;2;1;2;3;1;2;1;2;;1;4;;2;2;3;2;3;3;3;2;2;3;2;3;2;2;3;2;2;2
1116;2;1;2;7;74;11;4;2;5;3;1;8;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;2;3;3;1;2;2;2;420;10;;7;40;0;1;4;3;2;2;2;2;2;2;2;2;2;2;2;2;4;1;;;;1;74;11;3;2;0;0;3;;6;2;1;1;4;3;2;1;3;;1;1;;2;2;2;2;3;2;3;3;3;4;4;4;2;3;3;4;5;3
1117;2;1;1;6;95;1;5;1;3;2;3;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;2;1;2;2;1;540;10;;;;2;2;5;2;;2;2;2;2;2;2;2;2;2;2;3;2;1;3;;;1;95;1;4;1;0;0;5;1;2;2;1;2;3;2;2;2;;3;1;2;;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;5;4
1118;2;2;1;10;34;10;4;7;7;3;2;9;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;1;2;10;1;1;1;1;2;1;1;3;1;150;6;;;34;5;3;0;4;;1;3;3;3;3;3;3;3;4;2;2;2;;;;;1;34;10;3;2;0;1;4;;3;2;1;2;3;2;2;2;;3;2;;1;2;1;2;3;3;3;3;2;1;4;2;2;1;2;1;1;2;1
1119;2;1;2;10;44;7;4;7;7;3;1;4;11;1;2;;2;;1;2;;2;2;2;1;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;2;2;125;2;;40;19;0;7;0;4;2;2;2;1;2;2;2;2;2;2;2;3;2;;;;;1;44;7;6;2;0;0;4;;6;3;1;1;3;2;2;2;;1;1;2;;1;1;2;2;3;1;2;1;3;3;1;4;2;2;1;3;2;2
1120;2;1;2;4;77;1;1;1;6;3;1;9;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;2;0;4;;67;61;0;7;0;3;2;2;2;2;2;2;2;2;2;1;2;2;2;5;;;;1;77;1;5;4;2;2;4;;1;1;1;1;3;2;2;2;;3;2;;1;2;4;4;4;4;4;4;4;4;4;1;1;1;1;2;1;5;1
1121;2;1;2;8;95;1;5;1;4;2;8;2;1;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;60;20;;;;0;1;0;4;2;2;2;2;2;2;2;2;2;3;4;3;3;3;;;;1;95;1;5;3;0;0;6;1;6;1;1;2;2;2;1;2;;3;2;;4;1;2;2;2;2;2;2;2;2;3;1;1;1;1;1;2;1;1
1122;2;3;1;3;75;1;5;1;4;1;2;7;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;1;0;0;;;;0;0;0;2;;2;2;1;2;2;2;2;2;3;3;3;3;2;;;;1;75;1;3;2;1;0;6;1;3;1;1;2;3;3;2;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3
1123;2;1;2;7;51;6;4;1;4;3;6;10;1;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;2;1;3;3;2;130;3;;40;45;0;2;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;1;51;6;5;2;0;0;5;3;3;1;1;2;3;2;1;1;3;;1;4;;1;2;3;3;3;2;3;2;2;3;3;4;4;1;2;3;5;3
1124;2;1;2;1;38;11;4;8;8;1;3;9;8;1;3;;1;;1;2;;2;2;1;2;2;2;2;2;2;1;2;8;1;1;1;1;4;4;1;1;1;150;3;;50;80;0;7;0;2;2;2;2;2;2;2;2;2;2;3;2;1;2;;;;;1;38;11;4;3;2;0;4;;6;2;1;1;1;1;2;1;3;;1;4;;2;1;4;4;4;4;4;2;3;3;1;1;1;1;1;1;1;1
1125;2;1;2;8;77;1;2;3;4;3;9;4;7;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;0;;;;0;1;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;77;1;6;4;2;0;6;2;6;1;1;1;2;2;2;2;;3;2;;1;2;3;2;3;3;2;4;2;3;3;1;1;1;1;1;1;1;1
1126;2;2;2;6;59;5;4;1;5;3;1;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;2;1;0;0;;;;0;0;0;2;2;2;2;1;2;2;2;1;2;4;4;4;4;1;;;;1;59;5;5;4;2;0;2;;2;1;1;2;3;2;1;2;;3;2;;1;2;4;4;4;4;4;4;4;4;4;1;1;1;1;2;2;1;1
1127;2;1;1;10;92;1;5;7;7;6;3;10;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;3;4;4;3;2;2;1;4;5;90;3;;41;41;0;5;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;;;;;1;92;1;1;1;0;1;2;;5;1;1;2;2;2;1;2;;3;2;;2;1;1;2;2;2;3;3;3;2;3;2;2;2;2;1;2;1;3
1128;2;1;1;10;44;7;2;7;7;3;5;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;1;1;1;2;3;0;0;;;;2;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;44;7;5;2;0;2;4;;6;2;1;3;2;1;1;2;;2;2;;3;1;2;2;2;3;2;2;2;3;3;5;5;5;5;5;5;5;5
1129;2;1;2;4;35;8;2;1;5;7;1;5;2;2;;3;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;1;1;2;2;2;90;0;;;;1;3;0;3;2;2;2;2;2;2;2;2;2;4;3;3;4;2;;;;1;35;8;5;4;2;0;6;4;2;1;1;2;3;3;1;1;3;;2;;1;1;2;2;2;2;2;2;3;3;2;2;3;2;1;2;2;5;4
1130;2;1;1;3;56;8;3;1;3;3;11;11;11;2;;4;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;2;1;1;1;3;1;70;10;;30;24;0;1;3;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;56;8;3;4;2;0;5;5;1;2;2;2;2;1;1;1;2;;1;1;;2;2;3;3;4;2;4;2;2;4;1;4;1;1;1;2;2;1
1131;3;1;2;10;23;9;1;7;7;5;2;1;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;3;2;2;1;1;2;2;90;2;;;45;2;0;0;4;2;1;2;2;2;2;1;2;2;4;4;4;3;;;;;1;23;9;3;1;0;1;3;;6;1;1;1;4;2;2;2;;3;2;;4;2;1;2;3;4;3;4;1;2;4;1;2;1;1;1;2;1;2
1132;2;1;1;5;95;1;2;1;4;3;8;6;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;2;2;420;5;;50;40;0;0;1;4;;2;2;2;2;2;2;2;2;4;4;2;4;1;3;;;1;95;1;7;5;3;0;6;5;3;1;2;3;3;3;1;2;;3;1;1;;1;1;2;2;3;2;2;2;2;2;2;4;3;1;4;2;4;4
1133;2;2;2;6;3;11;3;1;3;3;1;6;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;1;6;2;1;1;2;2;2;450;0;;;;1;0;1;1;2;2;2;3;3;3;2;3;2;4;4;3;4;3;;;;1;3;11;4;4;2;0;6;2;3;1;2;2;4;4;1;2;;3;2;;2;2;2;2;3;3;3;2;2;2;3;2;2;2;2;2;3;5;2
1134;2;1;1;10;69;11;4;7;7;3;1;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;2;1;2;2;2;120;5;;51;85;0;0;0;2;;2;2;2;2;2;2;2;2;3;3;3;3;;;;;1;69;11;5;2;0;2;6;1;4;2;1;1;4;2;1;2;;3;2;;1;2;2;2;2;3;2;3;2;3;4;3;3;2;2;2;1;2;4
1135;2;1;1;10;77;1;5;7;7;5;8;6;9;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;2;1;1;1;1;1;3;0;0;;;;0;0;0;3;;1;2;2;2;2;2;2;2;2;4;3;2;;;;;1;77;1;5;1;0;0;6;1;4;2;1;2;2;1;2;1;3;;1;4;;2;2;3;3;4;3;3;3;3;4;4;5;3;5;2;2;3;2
