SERIAL;JOURV6;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;C11;D52_0;D52_1;D52_2;D52_3;D52_4;D52_5;D52_6;D53_0;D53_1;D53_2;D53_3;D53_4;D53_5;D53_6;D54_0;D54_1;D54_2;D54_3;D54_4;D54_5;D54_6;D55_0;D55_1;D55_2;D55_3;D55_4;D56_0;D56_1;D56_2;D56_3;D56_4;D56_5;D56_6;D57_0;D57_1;D57_2;D57_3;D57_4;D58_0;D58_1;D58_2;D58_3;D58_4;D59_0;D59_1;D59_2;D59_3;D59_4
2560;2;1;1;10;34;10;4;3;3;3;1;9;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;2;2;210;1;4;;;;1;0;0;2;3;;1;2;2;2;2;2;2;2;4;3;3;3;2;2;3;;;1;34;10;6;2;0;0;6;2;2;0;0;0;4;6;0;;;;;;2;;;;;;;2;;2;2;1;2;2;2;4;4;3;1;3;2;2;2;3;2;1;2;1;1;2;2;2;3;3;3;3
2561;2;3;1;2;62;5;3;1;4;7;1;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;1;3;1;1;1;3;2;530;4;5;;;;0;0;2;4;2;;2;2;2;2;2;2;2;2;3;3;3;3;3;1;3;;;1;62;5;4;4;2;0;5;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;3;3;2;2;4;2;5;3;4;5;5;3;1;3;2;3;2;2;2;2;2;3;3;3;3;2
2562;2;2;2;3;62;5;4;1;5;2;1;9;3;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;1;0;;;;;;2;0;0;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;;;;1;62;5;6;5;3;0;4;;0;6;0;6;0;0;0;;1;;1;;;;;1;;1;;;;4;4;4;4;2;2;2;2;3;3;2;3;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2
2563;2;1;2;10;94;1;5;7;7;4;1;10;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;2;1;1;1;1;0;;;;;;0;0;0;0;3;2;3;2;3;2;2;1;2;2;3;3;3;3;1;;;;;1;94;1;3;1;0;0;4;;3;1;2;4;6;1;2;;;;;3;;;;;;;3;;;2;3;3;1;3;1;3;2;2;1;3;2;3;3;2;2;2;2;2;2;2;3;2;2;2;3;3
2564;2;1;2;10;33;9;4;7;7;6;1;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;6;2;2;1;1;6;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;1;2;2;3;4;4;3;3;;;;;1;33;9;6;1;0;1;2;;8;9;9;8;8;9;9;2;1;2;2;2;1;1;5;2;5;5;5;5;5;2;3;2;2;2;3;2;5;2;4;2;2;2;3;2;2;3;2;2;2;3;3;2;2;2;3;3
2565;2;3;2;3;67;6;4;1;5;2;1;8;3;2;;4;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;9;1;2;1;1;3;1;2;2;1;120;1;3;;;;2;0;0;0;2;2;2;2;2;2;2;2;2;2;3;3;2;4;2;5;;;;1;67;6;4;1;0;0;6;4;5;9;9;9;10;10;9;;4;3;3;4;4;4;;3;3;3;4;4;2;2;3;2;3;3;1;4;2;3;1;3;3;2;2;2;2;2;2;2;1;2;2;2;3;3;3;3
2566;2;1;1;7;93;1;5;4;2;3;1;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;1;0;;;;;;0;1;0;0;4;;1;2;2;2;2;2;2;2;3;3;3;3;3;5;;;;1;93;1;5;5;0;0;5;2;0;0;0;10;0;0;0;;;;3;;;;;;;2;;;;2;2;1;1;4;5;5;5;5;5;5;5;2;3;2;1;2;4;4;1;1;1;2;2;2;2;2
2567;2;1;2;10;91;1;5;7;7;3;8;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;2;1;1;1;1;0;;;;;;1;0;0;0;4;2;1;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;91;1;7;2;0;1;6;1;1;0;1;0;0;1;1;;;;;;;;;;;;;;;3;4;3;2;3;1;3;2;1;1;1;3;3;2;3;3;3;2;2;2;2;3;2;2;2;3;3
2568;2;2;2;2;53;7;1;1;6;2;1;9;11;2;;2;3;;2;2;;2;2;2;2;2;2;1;2;2;2;2;8;2;2;2;1;3;2;1;1;2;120;1;3;;;;3;1;1;2;2;2;2;2;2;2;2;2;2;2;3;3;4;3;4;1;;;;1;53;7;4;3;1;0;5;1;6;0;2;5;3;1;0;4;;;;;;;4;;;;;;;2;3;1;2;2;5;5;5;2;5;5;5;3;2;3;2;2;2;2;3;3;2;3;2;2;3;3
2569;2;1;2;6;78;1;5;1;5;3;1;3;6;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;3;3;1;1;1;1;2;90;1;2;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;;;;1;78;1;6;4;1;0;4;;8;0;5;4;4;3;2;3;;;;;;;3;;;;;;;2;3;2;2;1;2;3;3;3;1;3;4;3;2;2;2;3;2;1;1;1;1;2;2;2;3;2
2570;2;2;2;6;96;12;1;4;5;2;5;1;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;1;2;1;2;2;2;0;;;;;;1;1;1;0;4;2;2;2;2;2;2;2;2;2;4;3;3;4;3;5;;;;1;96;12;5;3;1;0;6;4;6;1;1;3;5;4;0;2;;;;;;;2;;;;;;;3;3;2;1;3;2;3;4;2;1;3;2;1;2;2;2;2;2;2;1;2;2;1;2;2;1;1
2571;2;3;2;10;91;1;2;7;7;6;6;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;4;1;1;1;1;1;1;2;85;1;;;;;10;0;1;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;91;1;6;2;0;1;4;;2;0;0;0;0;1;5;;;;;;;;;;;;;;;3;3;3;2;3;1;2;3;3;1;2;3;5;5;5;5;5;1;2;1;2;2;3;3;3;3;3
2572;2;2;2;6;45;2;4;1;3;2;1;8;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;3;1;1;1;1;6;4;540;2;4;;;;4;0;0;1;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;45;2;4;2;0;0;6;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;2;3;2;3;1;3;5;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;4;4
2573;2;1;2;10;23;9;1;7;7;5;1;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;1;1;1;1;2;4;30;2;;;;;3;7;0;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;23;9;5;1;0;1;4;;0;0;0;5;2;0;2;;;;;;;;;;;;;;;2;2;3;1;1;1;3;1;1;1;1;5;2;2;3;2;3;1;1;1;1;2;3;4;4;4;4
2574;2;1;1;7;59;5;2;1;4;3;1;9;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;7;1;3;2;3;2;1;1;2;2;150;2;;;;;0;0;0;1;2;;2;2;2;2;2;2;2;2;4;3;3;4;4;3;;;;1;59;5;4;4;2;0;6;2;0;0;0;2;2;0;0;;;;;;;;;;;;;;;2;3;1;1;3;5;2;5;5;3;5;2;3;2;3;2;3;2;2;1;1;2;2;3;3;4;4
2575;2;1;1;1;38;11;3;8;8;1;1;3;8;2;;2;3;;2;2;;2;2;1;2;2;2;1;2;1;1;2;7;1;1;1;1;1;1;2;1;1;120;5;;;;;4;0;80;0;2;;2;2;2;2;2;2;2;2;3;3;4;3;3;;;;;2;38;11;9;4;0;0;3;;8;6;5;10;2;5;3;5;5;;3;;;;5;5;;2;;;;5;5;2;5;2;1;4;1;2;1;3;3;1;1;1;1;2;5;5;5;5;5;5;5;2;5;5
2576;2;2;2;4;42;11;2;1;5;5;1;2;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;3;1;1;1;2;3;120;1;;;;;20;0;3;0;3;2;2;2;2;2;2;1;2;2;4;4;4;3;4;5;;;;1;42;11;5;2;1;0;5;5;6;4;6;7;2;2;3;2;;4;2;;;;2;;4;2;;;;3;3;4;3;3;5;3;5;3;2;3;4;2;2;2;2;3;3;2;2;2;3;2;3;3;2;2
2577;2;1;2;1;13;12;3;8;8;1;8;1;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;4;3;1;;;;;1;13;12;7;3;0;0;4;;2;1;7;5;10;5;3;;;1;;3;;;;;1;;2;;;2;2;2;2;2;3;1;2;2;4;2;5;2;2;2;2;2;2;3;3;3;2;2;2;3;3;4
2578;2;1;1;10;44;7;4;7;7;3;1;2;10;2;;2;3;;2;2;;3;3;3;3;3;3;3;3;3;3;3;8;1;1;1;1;4;1;2;1;2;0;;;;;;2;2;1;0;3;;2;2;1;2;2;1;2;2;4;3;4;4;4;;;;;1;44;7;5;2;0;0;2;;8;5;8;8;0;0;5;2;;5;5;;;;3;;5;5;;;;5;5;5;2;5;6;3;6;6;6;6;6;5;5;5;1;5;2;5;5;5;5;5;5;5;1;5
2579;2;2;1;1;83;12;1;1;1;1;5;4;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;6;3;4;3;6;2;1;6;6;5;1140;4;;;;;10;0;0;7;2;;2;2;2;2;2;2;2;2;4;2;3;4;4;1;;;;1;83;12;2;2;0;0;4;;2;4;0;2;10;0;0;;;;;2;;;;;;;2;;;3;5;5;5;5;3;3;3;4;2;4;4;2;2;3;1;3;2;3;2;2;1;4;4;4;3;1
2580;2;1;1;10;30;10;4;7;7;3;4;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;1;1;3;1;2;5;5;6;5;5;120;1;;;;;15;1;0;0;2;;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;30;10;3;2;0;1;6;1;10;10;10;10;10;10;10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;3;4;4;3;4;2;2;4;3;3;2;4;4;4;1;3;1;2;3;4;4;3
2581;2;1;2;7;71;3;2;1;3;2;1;5;8;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;1;2;0;;;;;;0;0;0;0;3;2;2;2;2;2;2;2;2;2;3;2;3;3;3;3;;;;1;71;3;6;2;0;0;6;4;1;0;5;7;10;1;0;;;;4;1;;;;;;4;1;;;2;1;1;1;1;4;5;5;5;4;5;2;3;1;3;1;2;3;3;1;2;3;1;2;3;2;3
2582;2;1;2;10;41;2;3;7;7;6;4;1;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;9;2;3;2;1;2;1;1;2;2;390;1;5;;;;10;4;3;0;3;2;2;2;2;2;2;1;2;2;3;3;4;4;4;;;;;1;41;2;6;1;0;1;4;;6;7;1;6;5;1;5;3;2;;3;;;;3;2;;3;;;;2;3;2;2;2;2;3;5;5;1;2;4;3;2;3;2;3;2;2;2;2;2;3;3;3;3;4
2583;2;1;2;10;83;12;4;1;3;3;3;7;4;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;1;1;1;1;2;120;5;;;;;50;1;0;0;2;2;2;2;2;2;2;2;2;2;4;3;3;4;3;3;;;;1;83;12;5;4;2;0;6;4;0;0;1;1;2;0;0;;;;;;;;;;;;;;;3;3;3;3;3;2;4;4;2;1;2;1;1;3;1;1;2;2;2;1;1;2;4;3;4;4;4
2584;2;1;2;1;75;1;5;4;8;2;3;2;4;2;;2;2;;2;2;;2;2;1;2;2;1;2;2;2;2;2;6;1;4;2;2;2;1;2;1;6;0;;;;;;0;1;0;0;2;2;2;2;2;2;2;2;2;2;4;3;4;3;2;;;;;1;75;1;2;1;0;0;6;2;5;0;0;0;0;0;0;;;;;;;;;;;;;;;3;3;3;3;3;4;2;2;3;4;3;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2
2585;2;1;1;6;36;2;3;1;4;3;10;3;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;5;1;1;2;1;1;3;5;0;;;;;;0;0;5;3;2;;2;2;2;2;2;2;2;2;3;2;4;4;4;1;3;;;1;36;2;5;4;2;0;6;4;8;9;1;6;3;3;0;1;1;;3;;;;2;1;;3;;;;3;2;1;1;3;5;1;1;4;4;5;3;2;2;2;2;3;2;3;3;3;2;2;3;3;4;4
2586;2;1;2;10;62;5;4;7;7;6;3;7;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;5;1;1;2;1;1;1;6;0;;;;;;0;0;1;0;4;2;2;2;2;2;2;2;2;2;3;4;4;4;2;;;;;1;62;5;3;1;0;0;1;;0;0;0;0;0;0;1;;;;;;;;;;;;;;;2;2;1;2;1;2;4;4;1;1;3;2;1;2;1;2;2;3;2;1;2;3;3;4;3;3;2
2587;2;3;2;4;45;2;2;1;4;1;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;2;1;1;1;1;2;150;2;;;;;0;0;0;7;2;2;2;3;2;2;2;2;2;2;4;4;4;4;4;1;5;;;1;45;2;3;1;0;0;6;1;1;0;10;10;10;6;1;;;4;2;1;3;;;;4;2;1;3;;2;4;3;1;4;2;5;5;5;1;5;5;3;2;3;2;3;2;2;2;2;2;4;4;4;4;4
2588;2;3;2;8;77;1;5;1;4;1;1;6;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;2;1;1;1;2;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;3;;;;1;77;1;3;1;0;0;6;4;2;0;4;4;3;3;3;;;;;;;;;;;;;;;2;2;2;2;2;2;5;5;2;1;5;5;3;2;2;2;3;1;1;1;1;1;3;2;4;4;4
2589;2;1;1;6;93;1;5;1;3;1;7;8;2;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;3;2;2;3;2;1;1;1;3;120;1;;;;;4;0;0;0;3;;2;2;2;2;2;2;1;2;2;2;4;2;4;3;;;;1;93;1;5;1;0;0;6;1;1;1;1;5;9;2;3;;;;;2;;;;;;;2;;;2;2;1;1;3;2;4;1;3;2;3;4;3;3;3;2;3;1;1;1;2;1;4;3;4;3;2
2590;2;2;1;10;76;4;4;7;7;1;1;6;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;1;1;2;1;1;2;2;180;2;5;;;;2;2;0;0;2;;2;2;3;2;2;2;2;2;4;4;4;4;4;;;;;1;76;4;4;1;0;0;5;1;5;0;6;2;3;3;3;;;3;;;;;;;3;;;;;3;3;3;1;2;4;2;5;5;4;5;5;3;2;2;2;2;2;1;1;1;2;3;3;3;3;3
2591;3;2;2;6;40;9;3;6;8;3;9;7;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;3;3;2;3;4;4;3;4;0;;;;;;4;2;2;0;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;;;;;1;40;9;4;3;1;0;3;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2592;2;1;2;10;47;9;1;6;8;3;1;10;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;1;2;1;2;1;1;2;2;720;5;;;;;3;0;2;0;4;2;2;2;2;2;2;2;2;2;4;4;4;3;4;;;;;1;47;9;8;2;0;1;5;3;2;2;5;2;0;2;2;;;;;;;;;;;;;;;3;3;2;1;3;1;5;5;5;1;5;5;3;2;3;3;3;2;2;2;2;2;2;2;3;4;4
2593;2;1;1;10;2;5;1;7;7;3;1;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;2;2;90;1;;;;;10;4;0;0;3;;2;2;2;2;2;2;2;2;3;3;3;3;4;;;;;1;2;5;7;2;0;0;4;;3;0;4;4;9;8;2;;;;;1;1;;;;;;1;1;;1;2;1;1;2;4;2;3;4;4;4;4;1;2;1;1;1;4;4;2;3;3;2;3;2;3;4
2594;2;1;1;10;76;4;1;7;7;3;8;9;6;2;;2;1;;2;2;;2;1;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;1;3;165;1;2;;;;0;3;4;0;3;;2;2;1;2;2;2;2;2;4;3;3;4;1;;;;;1;76;4;6;2;0;0;3;;0;0;1;1;5;5;3;;;;;;;;;;;;;;;3;3;1;2;1;2;4;4;2;3;2;4;3;2;3;2;3;4;3;1;2;1;4;2;2;2;2
2595;2;1;2;4;74;11;4;2;3;2;1;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;2;1;1;1;2;1;225;1;3;;;;50;0;1;0;2;2;2;2;2;2;2;2;2;2;3;2;4;3;3;3;;;;1;74;11;3;3;1;0;6;1;5;1;10;10;3;2;5;;;3;3;;;;;;3;3;;;;2;2;2;2;2;1;4;5;5;1;5;5;2;1;2;1;2;2;1;1;1;2;2;3;2;3;3
2596;2;1;1;7;40;9;2;1;6;1;1;8;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;1;1;2;3;2;720;1;4;;;;2;0;0;3;2;;2;2;2;2;2;2;2;2;3;3;3;3;3;1;;;;1;40;9;3;1;0;0;3;;3;1;2;2;1;1;1;;;;;;;;;;;;;;;2;2;3;2;3;4;2;1;2;3;2;2;2;2;4;4;2;4;4;4;4;3;2;1;1;1;2
2597;2;2;1;4;93;1;5;1;5;2;10;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;2;3;1;2;3;1;450;1;2;;;;25;0;1;2;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;1;5;;;1;93;1;4;2;0;0;4;;3;0;0;2;1;1;0;;;;;;;;;;;;;;;3;2;3;1;3;4;5;4;3;4;3;5;3;1;3;2;3;2;2;1;1;2;4;4;4;3;3
2598;2;3;2;10;34;10;4;1;5;2;1;5;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;3;150;4;;;;;2;0;0;2;3;2;2;2;2;2;2;2;2;2;4;4;4;4;3;4;;;;1;34;10;4;4;2;0;6;2;0;0;10;4;10;5;0;;;2;;4;;;;;5;;4;;;4;4;4;4;4;4;3;1;6;3;1;1;4;2;2;2;3;1;1;1;1;3;4;4;4;4;4
2599;2;1;2;7;4;12;2;1;4;2;1;3;8;1;2;;2;;2;2;;2;2;2;2;2;2;2;2;1;2;2;7;1;1;1;1;1;1;1;2;2;210;1;3;;;;20;0;0;0;3;2;3;2;1;2;1;2;1;2;3;3;3;3;3;3;;;;1;4;12;3;2;0;0;6;4;10;4;5;8;8;4;7;2;;;2;2;;3;2;;;2;2;;3;2;2;2;2;2;3;1;1;3;3;3;1;2;2;2;2;3;3;2;2;2;2;2;2;2;2;3
2600;2;2;1;9;31;10;4;3;2;3;1;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;3;1;1;1;1;4;2;720;1;3;4;;;6;0;0;4;2;;1;2;2;2;2;2;2;2;4;3;4;4;4;1;;;;1;31;10;5;2;0;0;3;;0;0;0;0;5;2;0;;;;;;;;;;;;;;;2;2;2;1;2;1;5;3;1;1;1;2;3;1;3;2;2;2;2;1;1;2;2;3;3;2;2
2601;2;1;2;1;36;2;3;1;5;2;9;3;4;1;4;;2;;1;2;;2;2;1;1;2;1;2;3;1;2;2;6;1;1;1;1;1;1;1;2;1;600;3;5;;;;2;1;1;1;3;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;;;;2;36;2;10;5;1;0;5;2;3;2;3;0;2;0;2;;;;;;;;;;;;;;;1;2;2;1;2;3;5;5;3;3;5;1;1;2;2;2;2;2;2;2;2;2;5;5;5;1;5
2602;2;2;1;10;92;1;5;7;7;3;1;6;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;2;210;1;2;;;;0;0;0;0;3;;2;2;2;2;2;3;3;3;4;4;4;4;4;;;;;2;89;3;4;2;0;1;4;;5;0;0;0;10;10;0;;;;;4;4;;;;;;5;4;;2;1;3;2;2;4;1;4;3;4;2;5;2;2;3;2;2;2;2;1;2;2;3;3;3;3;3
2603;2;2;1;4;77;1;1;1;4;3;9;2;10;1;3;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;3;1;1;2;1;1;1;2;480;1;4;;;;10;0;0;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;1;77;1;5;4;2;0;4;;5;5;5;5;10;5;5;;;;;3;;;;;;;1;;;3;3;1;4;3;5;5;5;5;5;5;5;2;2;3;3;3;3;3;3;3;3;2;2;4;3;2
2604;2;1;2;4;32;10;1;1;5;7;1;2;5;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;2;0;;;;;;5;0;5;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;4;2;;;;1;32;10;8;8;6;0;5;1;8;0;3;8;10;5;10;1;;;4;1;;3;2;;;3;1;;3;2;2;1;1;4;4;1;2;4;4;4;2;3;2;2;1;3;3;3;2;2;1;2;3;4;1;1
2605;2;3;2;10;40;9;3;7;7;5;8;6;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;4;1;1;1;2;1;2;0;;;;;;0;2;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;40;9;5;1;0;0;5;1;5;1;5;0;9;7;8;;;;;2;2;1;;;;;1;2;1;3;3;2;1;2;2;4;3;2;1;2;2;3;2;2;1;2;4;3;1;2;1;3;3;3;4;4
2606;2;1;2;10;13;12;4;7;7;6;2;5;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;6;3;2;300;1;5;;;;0;1;0;0;3;2;2;2;2;2;2;2;2;2;3;3;3;3;2;;;;;1;13;12;4;1;0;0;5;4;4;3;0;8;5;0;0;;;;3;;;;;;;2;;;;3;3;4;2;3;2;3;5;5;1;5;5;3;2;3;2;3;2;2;2;1;2;1;2;3;3;3
2607;2;1;1;1;86;9;1;4;4;1;1;3;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;3;3;2;1;1;2;3;300;1;2;;;;3;0;1;0;2;;2;2;2;2;2;2;2;2;4;4;4;3;3;5;;;;1;86;9;5;4;0;0;6;2;9;3;7;7;10;1;5;1;;3;3;1;;;1;;3;3;1;;;3;2;2;2;3;2;4;4;3;1;2;2;2;2;3;2;2;2;3;3;3;2;2;3;3;4;2
2608;2;1;1;6;62;5;4;1;3;3;6;2;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;9;2;3;3;1;6;1;6;1;6;0;;;;;;1;1;0;0;4;;2;1;2;2;2;3;2;2;1;2;3;1;1;3;;;;1;62;5;3;6;3;0;6;5;7;0;0;8;10;0;0;2;;;2;3;;;2;;;2;2;;;3;3;2;2;3;1;5;3;5;1;1;5;1;3;1;2;2;2;1;1;1;2;2;3;4;3;4
2609;2;1;2;5;29;8;2;4;5;5;1;2;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;1;1;1;1;6;120;3;;;;;2;0;2;0;4;2;2;2;2;2;2;2;2;2;3;3;3;3;4;7;;;;1;29;8;4;4;2;0;3;;5;5;5;5;10;5;5;;;;;2;;;;;;;2;;;2;2;1;2;2;5;5;5;3;5;5;5;1;3;1;2;1;4;4;4;4;3;3;3;3;3;2
2610;2;2;2;1;95;1;5;8;8;2;7;6;10;2;;4;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;7;1;1;1;1;1;2;1;2;1;360;1;3;4;;;4;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;95;1;3;2;0;0;5;4;8;0;6;4;10;0;6;2;;4;;4;;4;2;;3;;3;;3;2;2;3;2;2;5;5;2;5;4;5;4;1;3;3;1;1;2;2;2;2;2;2;2;2;2;2
2611;2;2;2;6;59;5;3;1;5;4;3;4;2;1;2;;2;;1;2;;2;2;2;2;2;1;2;2;2;2;2;7;2;4;2;4;2;1;2;2;4;540;4;;;;;4;0;0;1;2;2;2;2;2;2;2;2;2;2;4;4;4;3;4;1;3;;;1;59;5;5;3;2;0;5;1;3;5;3;6;6;4;3;;;;3;3;;;;;;3;3;;;3;3;3;3;3;2;5;2;5;1;5;5;3;2;2;3;3;2;2;1;1;2;2;2;3;4;4
2612;2;3;2;7;29;8;4;1;4;3;1;5;2;2;;2;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;8;1;2;3;3;2;2;1;1;1;90;1;5;;;;3;0;0;0;3;2;2;2;2;2;2;2;2;2;3;1;1;2;3;3;;;;1;29;8;6;2;0;0;6;5;7;9;3;6;6;5;7;2;4;;2;3;;3;2;4;;2;3;;4;3;3;3;3;3;1;3;2;1;2;1;2;2;2;3;2;2;2;1;1;2;2;1;2;2;4;2
2613;2;2;1;8;47;9;1;1;3;2;2;3;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;2;600;4;;;;;2;0;2;8;2;;2;2;2;2;2;2;2;2;4;3;4;4;3;1;;;;1;47;9;6;3;0;0;5;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;3;3;2;2;2;4;3;5;4;4;4;2;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3
2614;2;1;2;10;56;8;2;7;7;3;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;2;2;45;1;;;;;1;0;1;0;2;2;2;2;2;2;2;2;2;2;4;4;3;4;1;;;;;1;56;8;7;2;0;0;4;;5;1;3;10;7;5;5;;;;3;3;;;;;;3;3;;;3;2;1;2;2;2;4;5;5;5;5;4;2;1;3;1;2;4;2;2;3;3;1;2;2;3;3
2615;2;1;1;7;40;9;2;1;4;2;1;4;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;2;1;1;1;4;5;600;4;;;;;0;0;0;5;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;40;9;4;2;0;0;5;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;3;3;3;3;3;2;3;4;2;2;2;2;2;2;2;3;3;3;2;2;2;2;3;3;3;2;3
