SERIAL;JOURV5;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D42_0;D42_1;D42_2;D42_3;D42_4;D42_5;D42_6;D42_7;D42_8;D42_9;D42_10;D43;D44_0;D44_1;D44_2;D44_3;D44_4;D44_5;D45_0;D45_1;D45_2;D46Q_0;D46Q_1;D46Q_2;D46Q_3;D46Q_4;D46Q_5;D46Q_6;D46Q_7;D47Q_0;D47Q_1;D47Q_2;D47Q_3;D47Q_4;D47Q_5;D47Q_6;D47Q_7;D48;D49_0;D49_1;D49_2;D49_3;D49_4;D49_5;D49_6;D49_7;D50Q_0;D50Q_1;D50Q_2;D51Q_0;D51Q_1;D51Q_2
3845;3;2;2;4;11;10;1;6;8;2;1;4;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;3;3;2;1;1;1;1;2;2;30;1;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;3;4;3;1;;;;;1;11;10;3;5;3;0;4;2;2;;2;3;3;3;3;3;2;4;3;3;3;2;2;2;2;3;2;2;0;5;5;2;0;0;;;0;5;2;5;0;5;6;2;1;5;5;5;5;5;5;5;5;;2;20;;2;20
3846;3;1;2;10;92;1;5;7;7;5;1;10;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;3;1;1;1;1;2;2;120;1;;;;;5;0;0;0;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;;;;;1;92;1;2;1;0;0;5;1;1;;3;1;2;3;2;2;3;1;3;3;2;1;2;1;1;2;2;2;5;5;5;5;5;6;0;5;5;5;5;5;5;5;5;5;1;3;3;3;3;3;3;3;3;;3;;;3;
3847;3;1;2;10;66;10;4;7;7;5;4;8;3;1;3;;3;;2;2;;2;2;3;2;1;2;2;2;2;2;2;7;1;6;2;1;1;1;1;2;3;90;2;;;;;4;10;0;0;2;2;2;2;2;2;2;2;2;2;3;4;4;3;3;;;;;1;66;10;2;1;0;1;6;3;3;;3;3;3;3;2;3;3;3;2;3;3;2;2;1;1;4;1;1;5;7;9;8;7;7;3;6;5;6;;;6;7;6;7;2;2;2;2;1;2;1;2;2;;1;;;1;
3848;3;1;2;10;92;1;5;7;7;3;8;7;4;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;4;1;1;1;1;1;2;3;120;1;2;;;;0;0;0;0;3;2;2;2;2;2;2;2;2;2;2;2;3;2;1;;;;;1;92;1;4;4;0;1;4;3;2;;3;3;2;3;4;3;2;3;3;3;3;2;2;1;1;2;1;4;0;0;5;6;0;0;4;5;0;0;0;0;2;4;4;2;2;3;3;2;3;2;4;2;4;;3;;;3;
3849;3;2;1;10;59;5;3;7;7;5;1;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;6;1;1;1;1;1;1;1;20;1;;;;;0;0;0;0;3;;2;2;1;2;2;2;1;1;4;4;3;3;3;;;;;1;59;5;3;1;0;1;2;3;3;;2;3;3;3;3;3;3;3;3;3;1;1;3;3;3;3;1;1;2;1;8;5;7;4;1;6;8;7;1;6;4;2;5;3;1;4;4;3;1;4;1;2;4;;1;;;1;
3850;3;1;2;10;75;1;5;7;7;5;1;6;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;6;6;1;1;1;1;6;60;1;;;;;0;0;0;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;75;1;4;1;0;1;3;3;3;;1;3;2;2;2;2;1;2;2;3;3;2;3;2;2;1;1;2;9;7;8;7;7;6;5;7;9;8;10;8;8;7;7;8;1;2;4;5;3;3;3;2;5;;1;;;1;
3851;3;2;1;2;69;11;4;1;6;1;6;5;2;1;3;;3;;2;2;;2;2;2;2;1;2;2;1;2;2;2;6;1;2;5;5;2;1;1;2;5;540;4;;;;;1;1;1;1;4;;2;2;2;2;2;2;2;2;4;4;4;3;3;1;;;;1;69;11;4;2;0;1;4;2;2;2;2;3;3;3;5;5;3;2;3;3;2;2;3;3;2;2;5;5;0;0;4;3;5;0;5;5;0;0;0;0;0;0;0;5;1;4;4;4;4;4;4;4;4;8;;;8;;
3852;3;2;1;2;62;5;2;1;6;7;4;2;11;2;;2;2;;2;2;;2;2;1;1;2;2;2;2;2;2;2;8;2;2;2;2;6;1;1;3;2;480;4;;;;;15;0;2;7;2;;2;2;2;2;2;2;2;2;3;2;3;3;3;1;;;;1;62;5;4;2;0;0;6;3;2;1;2;3;2;3;3;3;2;3;2;4;2;2;3;1;1;4;2;2;1;8;7;7;5;3;5;4;2;9;5;8;7;8;9;2;1;5;4;1;2;3;2;2;2;7;2;;7;2;
3853;3;1;1;10;75;1;5;7;7;3;1;2;8;2;;2;3;;1;2;;2;2;2;2;2;2;2;1;2;2;2;9;2;2;2;1;1;1;1;1;2;60;2;;;;;0;0;0;0;4;;1;2;1;2;2;1;2;2;4;4;4;4;1;;;;;1;75;1;4;3;0;2;2;3;3;;3;3;3;3;3;3;3;3;;3;1;2;3;1;1;2;3;3;5;0;9;9;;7;;5;6;8;7;5;;;;;2;2;2;2;2;3;2;5;3;;;;;;
3854;3;2;2;2;52;6;3;1;6;1;5;2;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;3;5;2;1;3;1;1;4;5;480;1;4;;;;10;0;0;4;2;2;2;2;2;2;2;2;2;2;3;4;4;3;3;1;;;;1;52;6;2;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;4;1;5;2;1;0;3;3;5;0;5;5;;5;5;5;3;5;5;6;6;2;5;1;2;2;2;2;2;2;8;1;;8;1;
3855;3;1;2;7;12;10;2;4;6;3;1;8;4;2;;2;2;;2;2;;2;2;2;1;1;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;120;5;;;;;0;0;0;0;4;2;2;2;1;2;2;2;2;1;1;1;1;2;2;5;;;;1;12;10;5;2;0;0;6;1;1;;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;3;10;10;10;10;10;10;0;0;5;7;5;0;0;9;0;1;4;1;1;1;3;1;1;1;;10;;;12;
3856;3;1;2;10;29;8;2;7;7;3;8;4;7;2;;2;3;;2;2;;3;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;2;1;1;2;2;45;1;;;;;5;0;0;0;2;2;2;2;2;2;2;1;2;2;4;3;3;4;4;;;;;1;29;8;5;2;0;0;5;3;2;;2;2;3;3;3;3;3;3;3;3;2;3;3;3;2;2;3;3;0;1;9;9;;2;6;7;2;5;5;5;8;3;9;1;1;2;3;2;2;2;2;5;5;;2;;;2;
3857;3;1;2;10;75;1;5;7;7;1;1;5;7;2;;2;3;;2;2;;2;2;2;1;2;2;2;2;2;2;2;9;2;2;2;1;1;1;1;1;2;0;;;;;;0;1;0;0;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;;;;;1;75;1;1;1;0;1;5;2;2;;2;2;1;1;2;1;1;1;2;3;2;2;2;2;2;1;2;2;9;9;9;9;9;7;0;8;7;9;9;6;6;8;9;6;2;1;4;1;2;3;1;1;1;;1;;;1;
3858;3;1;2;10;95;1;5;7;7;1;9;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;1;120;1;;;;;10;0;4;0;1;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;95;1;3;1;0;0;6;3;2;;3;3;3;2;2;1;2;2;2;3;3;3;3;2;3;2;2;2;1;8;8;8;6;6;1;7;1;8;7;7;6;6;7;5;2;2;2;2;2;3;3;5;2;;2;;;2;
3859;3;2;2;10;86;9;3;7;7;6;1;6;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;1;1;1;1;2;3;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;86;9;6;1;0;0;4;3;2;;2;2;3;3;1;1;2;1;2;2;2;2;3;3;2;4;2;1;9;9;9;9;9;8;7;6;9;9;8;8;8;9;7;8;2;2;2;2;2;2;2;2;2;;2;;;3;
3860;3;1;2;10;83;12;4;7;7;3;1;3;9;1;3;;3;;2;2;;2;2;1;2;2;2;2;1;2;2;2;10;1;6;6;1;1;1;1;1;1;140;3;;;;;2;0;0;0;4;2;2;2;3;2;2;1;2;2;3;3;4;4;4;;;;;1;83;12;5;2;0;1;3;3;2;;2;1;2;3;1;1;3;1;2;2;1;2;3;3;3;3;2;2;9;;9;9;9;8;0;;9;;9;;;;;;2;2;4;5;2;3;2;5;2;;2;;;2;
3861;3;1;1;10;35;8;3;7;7;1;1;6;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;3;3;1;1;1;1;3;0;;;;;;0;0;0;0;2;;2;1;2;2;2;2;2;2;2;2;4;3;4;;;;;1;35;8;3;1;0;0;3;3;3;;3;3;3;3;3;3;3;3;;3;3;3;4;5;2;3;3;3;7;;8;8;7;3;1;10;8;8;7;7;7;7;7;8;2;2;5;5;5;3;5;5;3;;1;;;1;
3862;3;1;1;10;45;2;4;7;7;2;1;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;2;2;60;5;;;;;1;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;45;2;4;2;0;0;4;3;3;;3;3;3;3;3;2;3;3;3;2;2;2;2;2;2;2;2;2;7;7;9;8;8;7;0;8;7;7;;;;8;;;3;4;4;4;4;3;2;5;2;;0;;;;
3863;3;1;2;10;34;10;3;7;7;3;1;6;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;5;4;1;1;1;5;1;2;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;;1;34;10;5;2;0;1;3;3;2;;1;2;5;3;3;1;3;2;2;2;1;2;3;1;1;3;1;1;1;5;9;5;10;6;5;9;1;5;10;;;;8;;1;3;3;2;3;3;2;2;2;;2;;;2;
3864;3;2;2;10;74;11;3;7;7;5;1;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;3;2;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;74;11;3;1;0;1;6;3;1;;1;3;2;2;1;1;1;1;2;3;2;1;3;3;3;2;1;1;2;8;10;8;8;8;6;10;2;7;8;5;8;7;8;5;2;4;4;2;3;3;2;2;3;;1;;;2;
3865;3;2;2;1;33;9;4;8;8;1;7;8;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;3;2;2;4;1;4;4;3;1;3;1;1;5;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;3;2;3;3;1;;;;;2;30;10;9;3;0;0;6;3;2;;3;3;2;3;3;3;2;3;2;3;3;3;3;1;2;3;2;3;3;5;4;4;2;5;0;1;5;3;6;6;6;6;6;6;2;2;4;2;2;2;2;5;2;8;;;9;2;
3866;3;2;2;3;29;8;2;2;6;4;5;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;1;1;1;1;1;2;2;360;1;4;;;;40;0;0;7;3;2;2;2;2;2;2;2;2;2;4;4;4;4;1;1;;;;1;29;8;5;1;1;0;5;1;2;2;3;2;1;3;2;1;1;2;2;3;3;2;1;1;1;2;2;3;;;;;;;;;;;;;;;;;1;3;3;2;3;3;2;3;3;4;1;5;0;3;20
3867;3;1;2;2;72;7;1;6;8;3;8;5;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;2;30;5;;;;;0;0;0;0;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;;;;;1;72;7;5;5;3;0;3;2;1;;2;3;2;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;5;5;8;8;8;8;5;8;5;5;5;5;5;2;5;5;1;3;5;5;3;5;2;5;2;;2;7;;2;12
3868;3;1;1;10;57;6;4;7;7;3;1;7;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;7;1;3;1;4;1;1;1;1;4;45;2;;;;;0;3;0;0;4;;1;2;2;2;2;2;2;2;4;4;4;4;2;;;;;1;57;6;5;2;0;2;2;3;3;;2;3;3;3;3;2;2;3;3;3;3;3;3;2;2;4;2;3;4;6;8;6;6;5;4;5;4;6;6;5;5;6;6;7;2;3;2;5;3;3;3;5;5;;1;;;1;
3869;3;1;2;1;93;1;5;8;8;1;2;8;9;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;10;1;1;2;1;1;1;1;2;3;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;3;3;3;1;1;;;;;1;93;1;4;6;1;0;5;2;2;;1;2;2;3;2;3;2;2;3;2;1;1;2;1;1;3;3;3;;;;;;;;;;;;;;;;;1;4;4;4;4;4;4;4;4;;;;;;
3870;3;2;2;3;71;3;3;5;8;2;6;2;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;4;5;5;5;5;5;5;1;5;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;;1;71;3;3;2;1;0;2;2;3;;5;3;3;5;5;3;5;3;3;5;5;3;3;5;5;5;1;1;4;5;5;6;6;5;0;0;6;5;5;0;;3;5;5;2;3;3;3;3;3;3;3;2;;1;8;;1;7
3871;3;2;1;1;63;11;4;8;8;1;4;1;10;2;;1;3;;2;1;0.0;2;1;1;1;2;2;2;1;2;2;2;5;1;2;3;1;6;1;1;1;7;0;;;;;;0;0;0;0;2;;2;2;1;2;3;2;2;2;2;1;2;1;1;;;;;1;63;11;7;5;2;0;6;1;2;;2;1;3;5;3;3;5;2;1;1;1;2;2;1;1;5;2;3;0;2;6;7;7;3;5;;3;7;6;7;7;5;6;8;1;5;3;5;2;2;2;2;2;10;1;;6;1;
3872;3;1;2;9;59;5;4;5;8;3;1;5;8;2;;2;3;;2;2;;2;2;2;1;2;2;2;2;2;1;2;10;1;2;1;1;6;6;6;1;6;0;;;;;;0;0;0;0;5;2;2;2;2;2;2;1;2;2;2;1;1;2;1;;;;;1;59;5;6;3;0;0;3;1;1;;1;1;1;2;1;1;2;1;2;1;1;1;1;1;1;1;2;2;0;0;9;9;0;7;0;9;2;1;2;5;0;;5;7;2;4;2;4;4;4;4;2;5;;2;;;3;
3873;3;1;2;10;60;5;2;7;7;5;1;10;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;1;2;3;4;3;4;4;;;;;1;60;5;7;1;0;0;4;1;1;;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;8;9;;;6;7;8;2;8;;6;6;2;5;5;2;2;2;5;1;2;2;5;5;;2;;;2;
3874;3;2;1;10;2;5;2;7;7;3;6;5;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;2;1;4;2;1;2;4;0;;;;;;0;0;5;0;3;;2;2;2;2;2;1;2;2;4;3;4;3;3;;;;;1;2;5;9;2;0;0;2;3;2;;3;2;3;2;3;3;3;3;2;5;4;3;3;1;2;2;2;3;9;9;10;8;8;7;1;9;8;7;7;7;3;7;6;7;1;2;3;4;4;3;2;5;2;;1;;;1;
3875;3;1;1;3;77;1;5;3;2;2;3;1;8;2;;3;3;;2;2;;1;2;2;2;2;2;2;1;2;2;2;4;4;3;4;3;3;3;5;5;3;720;4;;;;;1;0;0;0;2;;3;2;1;2;2;2;2;2;2;4;2;2;2;2;;;;2;93;1;1;2;1;0;5;5;2;1;1;2;3;1;1;1;2;2;1;1;2;1;3;2;2;1;1;1;0;7;7;10;6;2;1;5;0;5;6;4;2;7;6;3;1;2;4;4;1;3;3;4;4;10;1;1;4;2;4
3876;3;1;2;9;34;10;1;7;7;3;1;4;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;2;1;1;3;3;220;1;;;;;50;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;34;10;5;2;0;0;5;1;1;;1;1;1;1;1;1;1;1;2;3;2;2;3;1;2;5;2;3;4;4;5;5;5;4;3;3;5;5;5;5;5;5;5;5;1;2;3;2;2;3;2;4;3;;4;;;4;
3877;3;1;1;10;10;6;4;7;7;3;1;6;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;2;1;1;1;1;1;0;;;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;10;6;6;2;0;0;6;3;1;;2;2;3;2;2;2;3;2;2;3;2;2;3;2;3;5;2;2;8;8;8;8;7;7;1;8;9;9;8;9;8;8;9;8;1;2;3;3;2;2;2;2;2;;;;;;
3878;3;2;1;4;44;7;4;1;6;2;2;6;3;2;;2;3;;1;2;;2;1;2;2;1;1;2;2;2;2;2;8;1;1;1;2;1;1;1;1;2;60;1;2;;;;0;0;0;0;3;;2;2;2;2;3;2;2;2;2;2;3;4;1;4;;;;1;44;7;4;5;3;0;2;2;1;3;2;2;2;2;1;2;1;2;2;3;2;2;2;3;3;2;2;1;0;8;9;8;0;2;1;7;0;8;0;2;5;2;5;4;1;3;2;2;3;4;2;4;3;;3;8;;3;16
3879;3;1;2;8;75;1;5;1;2;1;1;3;8;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;2;1;1;1;1;2;1;45;1;;;;;10;0;0;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;1;;;;1;75;1;3;2;0;1;6;3;1;2;1;1;2;1;1;1;2;1;2;2;2;2;3;1;1;1;1;1;4;6;9;9;8;5;4;7;4;5;9;6;7;4;8;5;1;3;4;2;5;4;1;2;3;8;;;4;2;
3880;3;1;1;8;57;6;3;7;7;3;2;3;4;2;;2;3;;1;2;;1;2;2;2;2;2;2;2;2;2;2;8;2;3;2;1;2;1;1;1;2;0;;;;;;0;1;0;0;3;;2;2;2;2;2;2;1;2;4;4;3;4;1;;;;;1;57;6;5;3;0;0;3;3;1;;1;3;1;1;2;1;2;2;2;3;1;1;3;1;2;2;2;2;1;9;9;9;8;4;;9;2;9;7;7;6;1;5;3;1;2;2;2;2;5;1;5;3;;3;1;;2;1
3881;3;2;2;10;91;1;5;7;7;2;1;6;11;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;2;1;1;2;1;120;1;;;;;0;0;0;0;4;2;2;2;2;2;1;2;2;2;4;3;4;3;3;;;;;1;91;1;5;2;0;0;6;3;2;;2;3;3;3;2;2;2;2;3;2;2;1;2;2;2;2;2;2;1;2;9;9;5;5;3;0;1;2;5;4;4;6;5;3;1;2;5;2;2;2;2;5;5;;3;;;3;
3882;3;1;2;10;69;11;4;7;7;3;1;5;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;2;2;0;;;;;;1;1;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;69;11;4;2;0;0;6;3;1;;2;1;2;3;3;3;2;1;2;3;3;3;3;2;3;3;3;3;1;7;10;10;7;6;1;8;1;5;8;4;0;5;7;4;1;4;4;5;2;2;3;4;3;;2;;;1;
3883;3;1;1;10;45;2;3;7;7;3;1;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;1;1;1;1;2;0;;;;;;0;0;0;0;2;;2;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;45;2;5;2;0;0;5;3;2;;2;3;3;3;3;2;2;3;2;2;2;2;2;2;2;3;2;3;7;5;7;6;6;5;2;5;5;5;7;7;5;6;7;3;1;3;3;2;3;3;3;2;2;;;;;;
3884;3;1;1;7;85;7;1;1;6;3;3;2;5;2;;3;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;5;2;2;2;2;2;1;2;2;480;1;4;;;;120;2;1;6;3;;2;2;2;2;2;1;2;2;2;2;1;2;2;1;;;;1;85;7;4;4;2;0;3;3;3;2;3;3;3;2;3;2;2;2;1;2;2;2;2;2;2;2;3;2;5;5;6;6;2;4;3;7;6;6;4;5;5;7;4;6;1;2;2;2;2;2;2;2;2;8;0;0;8;0;2
3885;3;3;1;10;75;1;5;7;7;3;1;10;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;6;1;2;2;1;1;1;1;2;2;50;1;;;;;0;0;0;0;3;;1;3;2;2;2;2;2;2;4;4;3;4;4;;;;;1;75;1;3;2;0;1;6;2;2;;2;3;2;2;3;3;2;3;2;3;2;2;3;2;2;3;1;2;1;1;7;6;4;4;1;2;4;2;7;2;6;6;6;6;2;5;3;5;3;2;4;2;2;;;;;;
3886;3;1;2;7;10;6;1;6;8;1;5;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;4;6;1;5;2;1;4;6;180;1;2;3;;;1;3;0;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;3;;;;;1;10;6;5;2;0;0;4;3;3;;3;3;1;3;3;3;3;3;3;3;3;1;3;1;1;1;5;5;0;4;5;8;1;2;7;6;0;3;5;7;10;1;10;10;1;3;3;5;3;5;3;5;3;;1;;;2;
3887;3;1;2;10;56;8;4;7;7;5;1;8;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;1;2;1;1;1;1;3;0;;;;;;0;0;0;0;3;2;1;2;1;2;2;1;2;2;4;4;4;4;4;;;;;1;56;8;6;1;0;1;4;3;3;;1;3;1;3;1;3;3;3;3;2;1;2;3;1;2;2;2;1;8;9;10;10;10;6;0;10;8;;10;5;8;8;8;8;2;4;4;5;2;4;4;5;4;0;1;0;0;1;0
3888;3;1;2;10;85;7;1;7;7;6;1;5;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;7;1;2;1;1;1;1;1;2;60;1;;;;;0;0;1;0;3;2;2;2;2;2;2;2;2;2;2;1;2;2;2;;;;;1;85;7;4;2;0;0;6;2;3;;3;3;2;3;3;3;3;3;3;1;2;1;2;6;2;2;3;3;7;7;7;7;7;3;3;5;5;5;6;5;7;7;7;6;2;5;2;2;5;2;2;2;2;;2;;;2;
3889;3;3;1;10;80;5;1;7;7;3;1;10;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;2;1;1;1;1;1;1;0;;;;;;0;0;0;0;3;;2;1;1;2;2;2;2;2;4;4;4;4;4;;;;;1;80;5;7;2;0;0;3;3;3;;3;3;3;3;3;3;3;3;;3;2;2;3;3;2;4;4;4;;;;;;;;;0;3;6;1;1;4;1;2;1;4;4;2;3;4;2;4;4;;;;;;
3890;3;1;2;9;31;10;2;5;8;5;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;1;2;1;2;9;1;3;1;6;1;1;1;1;2;75;1;;;;;0;1;0;0;2;2;2;2;2;2;2;2;1;2;1;2;3;1;4;;;;;1;31;10;5;1;0;0;6;2;2;;3;3;2;2;3;2;2;3;2;3;2;1;1;1;1;2;1;3;2;8;10;10;;6;;8;5;8;0;7;7;6;7;10;2;1;2;1;1;2;2;5;1;;1;;;1;
3891;3;2;1;5;83;12;4;4;6;1;4;2;5;2;;2;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;10;1;3;1;1;2;1;1;1;2;120;1;;;;;20;0;0;0;3;;2;1;2;2;2;2;2;2;4;3;4;4;1;7;;;;1;83;12;2;1;0;1;5;3;3;;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;5;2;2;3;5;8;6;5;6;2;5;6;6;6;6;3;7;8;4;1;2;2;2;2;2;2;2;2;;1;;;1;
3892;3;1;2;10;33;9;1;7;7;3;1;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;2;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;;1;33;9;6;2;0;0;3;3;3;;2;2;3;2;1;1;3;3;2;2;2;2;3;3;3;1;2;1;1;4;10;8;6;3;4;6;4;6;9;6;7;6;8;5;1;2;4;2;2;3;2;2;3;;4;;;6;
3893;3;1;2;10;41;2;3;7;7;6;2;6;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;6;1;1;1;1;1;3;30;5;;;;;2;2;1;0;4;2;1;2;2;2;2;1;2;2;3;3;4;4;4;;;;;1;41;2;6;1;0;1;6;3;1;;2;2;3;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;7;9;9;8;5;5;8;1;7;5;5;5;5;5;5;2;2;2;2;2;3;2;2;2;;1;;;1;
3894;3;1;2;9;77;1;3;7;7;2;5;1;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;2;1;1;2;2;180;1;;;;;0;3;0;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;2;56;8;4;2;0;1;4;3;3;;3;3;3;2;2;2;2;3;2;3;2;3;3;2;2;3;2;2;0;2;5;3;5;0;0;7;0;3;5;3;2;3;5;0;1;4;2;3;2;4;2;3;4;;2;;;;
3895;3;1;2;10;86;9;4;7;7;3;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;86;9;7;2;0;1;4;3;3;;3;3;3;3;3;3;3;3;;3;3;2;3;2;3;2;2;1;0;6;8;7;7;5;1;9;0;9;7;6;7;2;7;6;1;4;5;3;5;3;2;5;5;0;1;;;1;
3896;3;1;1;10;83;12;4;7;7;5;1;6;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;1;1;1;1;1;60;2;;;;;0;0;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;83;12;3;1;0;0;3;3;3;;2;3;2;3;3;3;3;3;2;3;3;2;3;3;2;2;2;2;0;5;9;7;8;0;1;9;0;4;7;7;5;4;7;3;1;4;4;4;3;2;2;3;2;;1;;;1;
3897;3;1;1;10;85;7;2;7;7;1;6;3;2;2;;2;3;;2;2;;1;2;1;1;2;2;2;2;2;2;2;5;4;4;4;4;3;4;4;4;4;60;1;;;;;10;1;0;0;3;;2;2;1;2;2;2;2;2;1;1;1;1;1;;;;;1;85;7;4;2;0;0;3;2;3;;2;3;2;3;2;2;3;3;1;3;3;3;3;3;1;4;4;4;0;5;5;5;5;0;5;0;0;0;0;5;0;0;0;0;3;4;4;4;4;4;1;4;3;;1;;0;2;0
