SERIAL;JOURV3;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D15;D16Q_0;D16Q_1;D16Q_2;D16Q_3;D17;D18_0;D18_1;D18_2;D19_0;D19_1;D20;D21_0;D21_1;D21_2;D21_3;D22_0;D22_1;D22_2;D22_3;D22_4;D23_0;D23_1;D23_2;D23_3;D24;D25Q_0;D25Q_1;D25Q_2;D26;D27;D28_0;D28_1;D28_2;D28_3;D29_0;D29_1;D29_2;D29_3;D29_4;D29_5;D29_6;D29_7;D29_8
4051;3;1;1;9;29;8;1;7;7;3;1;3;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;1;1;0;;;;;;0;5;;1;2;2;2;2;2;2;2;4;4;3;4;;;;;1;29;8;7;3;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;6;6;6;6;2;2;6;2
4052;3;1;1;1;93;1;5;8;8;1;7;3;1;1;3;1;2;1;1;37.0;1;2;1;2;1;3;1;2;1;1;1;7;3;1;3;2;2;4;2;2;2;220;3;4;;;;1;5;;2;2;1;1;3;3;2;2;1;2;2;2;;;;;1;93;1;3;1;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;2;2;2;2;2;3;1;2
4053;3;1;1;10;2;5;1;7;7;3;1;10;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;1;1;2;1;1;1;2;3;90;2;3;;;;3;3;;2;2;2;2;2;2;2;2;4;2;2;4;;;;;1;2;5;5;2;0;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;6;2;5;6;2;5;5;6
4054;3;1;1;2;67;6;3;1;3;1;1;8;3;1;5;3;;1;2;;2;2;1;1;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;1;4;50;1;2;;;;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;3;;;;1;67;6;2;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;2;3;5;6;4;4;4;6
4055;3;1;2;10;33;9;4;7;7;1;9;10;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;2;150;1;;;;;10;2;2;2;2;2;2;2;2;2;3;2;2;4;3;;;;;1;33;9;3;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;2;5;6;1;4;2;2
4056;3;2;1;7;38;11;3;1;4;3;3;1;10;2;;3;;2;2;;2;2;1;2;2;1;2;2;2;2;2;8;1;3;1;2;1;1;6;2;5;75;1;;;;;2;3;;2;2;2;2;2;1;2;2;4;4;4;4;1;;;;1;38;11;6;2;1;0;4;1;0;0;1;0;3;2;3;5;3;4;1;3;2;3;2;2;4;3;2;3;1;2;;;3;1;1;3;3;3;;;3;;1;1;1;6;6;2;5;2;2
4057;3;1;1;10;92;1;5;7;7;3;10;9;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;4;4;3;2;1;2;2;4;150;1;2;3;;;0;4;;2;2;2;2;2;2;2;2;3;3;3;3;;;;;1;92;1;3;2;0;1;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;6;5;5;6;4;2;4;2
4058;3;2;2;6;75;1;5;2;3;1;6;1;4;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;2;1;90;1;2;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;4;4;1;2;;;1;75;1;3;2;1;0;6;1;0;0;1;0;3;4;5;3;2;1;1;3;2;2;2;2;3;2;1;4;1;2;3;;1;1;1;2;1;2;;;5;;3;2;5;5;6;4;2;4;2
4059;3;2;1;6;88;6;1;1;4;3;1;2;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;3;1;1;1;1;1;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;3;3;;;;1;88;6;8;3;1;0;4;1;0;0;1;0;3;3;2;2;1;1;2;3;2;2;3;5;2;2;2;3;2;;;;5;3;3;4;1;5;;;5;;5;2;2;5;6;5;5;6;6
4060;3;1;2;9;31;10;2;7;7;5;7;2;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;40;1;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;31;10;4;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;5;4;5;6;4;6;4;6
4061;3;1;1;7;56;8;4;1;4;3;8;6;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;6;1;1;2;1;1;2;6;120;1;;;;;30;3;;2;2;2;2;2;2;2;2;3;3;1;4;3;;;;1;56;8;4;4;1;0;5;1;0;0;0;1;4;5;5;5;1;1;1;3;3;1;3;3;2;2;2;3;3;;;;1;3;1;4;1;1;;;;2;2;2;5;5;6;1;1;6;5
4062;3;1;2;7;75;1;5;1;4;3;1;2;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;2;3;1;2;1;2;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;75;1;4;3;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;2;6;5;6;6;6;5;5
4063;3;1;1;10;85;7;1;7;7;3;8;10;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;2;45;1;;;;;1;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;85;7;6;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;6;4;6;6;5;6;6;6
4064;3;2;1;4;67;6;2;1;6;3;1;8;6;1;2;2;;2;2;;2;2;1;1;1;2;2;2;2;2;2;9;1;2;1;1;1;1;1;2;1;30;1;3;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;1;67;6;4;2;2;0;4;1;0;0;2;0;3;2;2;5;2;2;2;2;2;2;3;3;4;5;2;2;1;2;;;1;1;1;2;1;4;;;3;;5;5;5;5;6;5;6;6;5
4065;3;1;2;7;55;6;1;3;1;7;3;1;10;1;2;3;;1;1;37.8;1;1;1;2;1;2;2;1;2;2;2;8;1;2;2;1;1;1;1;1;2;60;1;;;;;0;2;2;2;2;2;2;2;2;1;1;3;3;3;3;1;;;;1;55;6;5;4;2;0;6;1;0;0;1;1;3;2;3;3;3;3;2;3;1;2;3;5;2;3;2;2;2;;;;3;2;1;2;1;4;;;3;3;5;3;4;6;6;4;5;6;5
4066;3;3;2;10;57;6;4;7;7;3;9;4;6;1;3;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;5;1;1;1;7;1;1;1;80;1;;;;;4;3;2;2;2;1;2;2;1;1;2;3;3;3;3;;;;;1;57;6;3;2;0;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;5;6;6;6;2;2;1;6
4067;3;2;1;1;69;11;4;1;4;1;9;1;8;2;;3;;2;2;;2;3;2;2;2;2;2;2;2;2;2;6;2;4;4;1;3;1;1;1;6;0;;;;;;2;4;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;69;11;2;3;1;0;6;1;0;1;0;0;2;5;3;3;3;2;2;3;3;3;3;2;5;1;2;4;2;3;;;5;2;2;3;1;3;;3;;;5;2;5;4;6;5;1;6;5
4068;3;1;1;10;45;2;4;7;7;2;1;3;10;2;;4;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;1;6;45;5;;;;;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;45;2;4;2;0;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;4;6;5;6;6;5;5;5;6
4069;3;1;1;9;75;1;5;7;7;7;4;8;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;3;6;3;2;2;5;1;2;6;135;1;2;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;75;1;4;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;6;1;5;6;5;1;1;6
4070;3;1;2;1;77;1;5;2;4;1;1;8;2;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;2;1;2;2;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;1;;;;1;77;1;3;4;1;0;6;1;0;0;0;1;4;2;5;5;4;3;1;3;3;3;3;5;2;5;2;5;2;3;;;4;2;1;3;1;3;;;;2;2;6;5;5;6;3;2;3;5
4071;3;2;1;6;62;5;4;1;6;7;2;6;7;2;;3;;2;2;;2;2;2;2;2;2;2;3;2;2;2;4;1;1;1;1;1;1;1;6;6;480;4;;;;;2;3;;2;2;2;2;2;2;2;2;4;4;4;1;1;;;;1;62;5;6;5;2;0;4;1;0;1;0;2;2;2;2;1;1;1;1;3;3;3;1;5;4;2;2;4;1;2;3;;1;3;2;5;1;1;;1;;1;5;6;6;6;6;5;6;6;6
4072;3;1;2;10;11;10;1;7;7;6;2;8;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;1;1;1;1;1;2;3;45;1;;;;;0;1;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;11;10;3;1;0;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;2;5;5;6;2;2;6;5
4073;3;1;1;10;14;4;2;7;7;2;8;1;6;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;2;2;1;1;1;2;3;120;1;;;;;0;3;;2;1;3;2;2;2;3;2;3;4;4;4;;;;;1;14;4;7;2;0;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;5;2;5;6;5;5;6;2
4074;3;1;2;9;13;12;4;7;7;3;8;6;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;2;2;4;1;2;2;2;2;5;150;1;;;;;0;2;2;2;2;2;2;2;2;2;2;3;2;4;1;;;;;1;13;12;5;1;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;2;5;6;1;2;6;2
4075;3;1;2;10;72;7;4;7;7;6;1;3;6;2;;3;;2;2;;2;3;2;3;2;2;2;3;2;2;2;0;1;1;3;2;6;1;1;2;2;70;1;;;;;0;3;2;2;3;2;2;2;2;2;2;3;4;3;3;;;;;1;72;7;4;1;0;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;4;4;6;6;6;4;6;4;6
4076;3;1;1;6;59;5;2;7;7;2;4;8;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;6;2;3;2;1;1;2;3;40;1;;;;;20;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;59;5;5;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;4;4;4;5;6;4;6;6;5
4077;3;1;1;9;59;5;4;1;6;7;1;3;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;2;1;1;1;2;6;0;;;;;;0;2;;2;2;2;2;2;1;2;2;2;2;2;2;5;;;;1;59;5;5;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;3;4;4;5;6;4;3;4;2
4078;3;1;1;1;3;11;3;8;8;4;7;8;3;2;;3;;2;3;;1;1;2;2;3;3;1;1;2;2;2;2;3;3;3;5;4;4;2;5;4;5;2;;;;;1;5;;2;3;3;3;3;3;3;3;1;2;2;2;;;;;1;3;11;5;3;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;2;2;2;4;6;5;4;4
4079;3;1;2;9;94;1;5;7;7;3;1;2;8;2;;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;8;2;6;6;5;2;1;1;2;4;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;3;2;3;;;;;1;94;1;4;2;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;6;5;5;6;1;5;5;6
4080;3;1;1;10;11;10;3;7;7;3;1;2;5;2;;3;;2;1;0.0;2;2;2;2;2;2;2;2;2;2;2;9;2;3;2;3;1;1;1;1;2;60;1;2;;;;0;3;;1;1;2;2;2;1;3;2;3;3;4;4;;;;;1;11;10;6;2;0;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;2;2;2;6;2;2;6;6
4081;3;1;1;7;39;3;2;4;3;4;5;4;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;6;2;5;2;1;1;1;6;90;1;;;;;10;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;1;39;3;4;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;6;5;5;6;5;5;6;5
4082;3;1;2;10;83;12;3;7;7;6;4;2;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;6;1;1;1;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;4;4;2;;;;;1;83;12;5;1;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;6;1;5;6;2;5;6;6
4083;3;1;1;4;69;11;4;1;6;5;4;2;3;2;;3;;2;1;0.0;2;2;1;2;2;2;2;1;2;1;2;7;2;1;2;2;1;2;1;2;1;80;1;4;;;;1;2;;2;2;2;2;2;2;2;2;1;1;2;1;1;;;;1;69;11;2;2;1;0;3;1;0;0;1;0;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;3;;;;1;1;1;1;1;2;;;1;;1;2;2;6;6;1;1;2;1
4084;3;2;1;1;37;2;2;8;8;1;6;5;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;5;6;6;1;1;1;1;4;240;3;;;;;0;5;;2;2;3;2;2;2;2;2;3;4;4;1;;;;;1;37;2;20;3;1;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;2;1;1;2;5;2;5;6
4085;3;1;2;3;93;1;5;3;3;7;5;2;6;1;3;2;;2;2;;1;2;2;2;2;2;2;2;2;2;2;7;3;6;3;3;1;1;2;1;4;30;1;;;;;1;2;2;2;2;2;2;2;2;2;2;3;3;4;2;3;;;;1;93;1;4;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;5;5;5;6;2;5;2;5
4086;3;1;2;8;94;1;5;2;3;3;8;1;6;2;;3;;2;1;0.0;1;2;1;1;2;2;2;2;2;2;2;8;1;2;1;5;1;1;6;2;2;140;1;2;;;;2;2;2;2;2;2;2;2;1;2;2;3;3;3;3;5;;;;1;94;1;3;2;0;2;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;5;6;6;6;3;5;4;6
4087;3;1;2;1;95;1;5;3;2;1;3;2;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;1;6;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;2;59;5;10;3;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;6;6;6;6;6;6;6;6
4088;3;1;1;10;42;11;3;7;7;3;7;4;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;4;4;4;1;1;2;2;4;45;1;5;;;;2;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;42;11;6;2;0;1;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;3;3;6;6;3;5;4;3
4089;3;2;2;2;75;1;5;1;3;1;1;8;9;2;;3;;2;2;;1;2;2;1;2;2;2;2;2;2;2;8;1;4;2;1;1;1;1;2;6;180;3;;;;;1;3;2;2;3;3;3;3;3;3;3;3;2;2;3;5;;;;1;75;1;1;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;1;1;1;6;6;2;3;6
4090;3;1;1;8;74;11;2;1;3;3;1;7;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;4;2;1;1;2;2;6;50;2;;;;;0;3;;1;2;2;2;2;1;2;1;4;4;4;4;3;;;;1;74;11;3;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;6;5;5;6;4;6;6;6
4091;3;1;2;8;45;2;4;5;8;5;8;4;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;90;1;2;;;;0;4;2;1;2;2;2;2;2;2;2;3;4;4;4;;;;;1;45;2;3;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;5;5;4;5;6;4;5;6;6
4092;3;2;1;2;57;6;4;1;4;2;1;6;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;4;1;1;4;1;1;4;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;1;57;6;8;2;1;0;6;1;0;0;1;0;3;3;3;3;3;3;2;3;3;2;2;2;4;3;2;2;2;3;;;1;2;1;4;1;1;;;1;;2;1;1;2;6;2;2;6;6
4093;6;2;2;4;41;2;1;1;6;3;2;7;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;2;2;1;6;2;2;60;2;;;;;0;4;2;2;2;2;2;2;2;2;2;4;4;4;3;5;;;;1;41;2;8;2;2;0;3;1;0;1;1;0;2;3;3;3;1;1;2;2;3;2;2;2;2;4;3;2;2;3;;;3;1;1;1;1;1;;1;1;;1;2;1;4;6;1;3;6;4
4094;3;1;1;10;77;1;1;7;7;3;6;7;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;3;3;2;1;1;1;2;3;0;;;;;;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;77;1;6;4;1;1;3;1;0;0;1;0;3;3;3;3;4;4;1;2;2;2;2;3;3;4;4;4;1;2;;;4;1;0;1;1;4;;;4;;5;2;2;5;6;2;5;5;5
4095;3;1;2;9;79;9;1;7;7;6;1;6;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;2;1;1;1;1;1;5;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;79;9;5;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;5;5;5;6;5;5;6;5
4096;3;1;2;10;16;9;3;6;8;3;1;5;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;3;2;4;;;;;1;16;9;6;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;6;3;4;5;6;2;2;6;6
4097;3;1;2;7;69;11;4;1;3;3;3;1;6;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;2;1;2;1;1;2;5;510;4;;;;;4;2;2;2;2;2;2;2;2;2;2;4;3;4;3;1;;;;1;69;11;4;3;1;0;6;1;0;0;1;0;3;5;3;2;5;5;1;3;3;3;1;5;4;5;2;4;2;;;;2;1;1;0;1;2;;;2;;2;5;2;5;6;4;5;6;5
4098;3;1;2;9;23;9;1;3;2;1;9;8;7;2;;3;;2;2;;2;2;1;2;1;2;2;2;2;2;2;4;1;3;1;1;1;1;1;2;3;45;1;2;;;;6;5;2;2;2;2;2;2;3;2;2;4;3;4;4;5;;;;1;23;9;3;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;2;5;5;6;5;5;5;5
4099;3;1;1;10;67;6;4;7;7;3;1;6;8;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;3;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;67;6;8;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;2;2;5;6;6;2;6;2
4100;3;1;1;10;50;4;1;7;7;3;8;6;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;6;2;2;2;6;6;2;5;240;1;2;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;50;4;7;2;0;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;5;6;6;5;6;5;5;6;6
4101;3;1;2;6;77;1;5;1;4;1;1;8;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;3;6;6;6;6;6;6;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;2;3;4;3;;;;1;77;1;2;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;5;5;2;6;6;5;5;5;6
4102;3;1;1;7;37;2;2;1;3;3;1;5;9;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;6;1;5;1;1;3;75;1;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;37;2;8;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;6;1;5;6;2;5;5;6
4103;3;2;2;7;67;6;4;1;4;1;1;8;3;2;;3;;2;2;;2;2;2;2;3;2;2;2;2;3;2;10;2;2;2;1;1;1;1;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;2;3;3;;;;1;67;6;1;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;4;5;4;5;6;4;6;6;6
4104;3;1;1;10;59;5;4;7;7;3;1;9;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;6;4;2;2;1;1;2;4;150;1;2;;;;15;2;;2;2;2;2;3;3;2;2;3;4;4;1;;;;;1;59;5;5;2;0;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;5;5;6;1;2;6;6
4105;3;2;1;9;13;12;4;7;7;2;1;8;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;1;1;6;1;1;6;60;2;;;;;0;2;;2;2;1;2;2;2;2;2;4;3;4;4;;;;;1;13;12;3;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;5;5;6;6;4;5;5;5
4106;3;3;1;10;91;1;5;7;7;3;1;3;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;4;2;2;1;1;5;1;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;3;;;;;1;91;1;6;2;0;2;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;6;6;6;5;6;6;5;6;6
4107;3;1;1;10;44;7;4;7;7;3;4;3;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;2;60;1;;;;;0;3;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;44;7;4;2;0;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;4;6;6;5;6;4;6;6;6
4108;3;1;1;10;94;1;5;7;7;2;1;10;3;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;2;2;150;1;2;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;94;1;3;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;5;5;5;6;3;2;3;3
4109;3;1;1;10;14;4;2;7;7;3;3;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;3;1;1;1;1;6;0;;;;;;0;4;;2;2;2;2;2;1;2;2;3;3;2;3;;;;;1;14;4;4;2;0;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;6;6;5;6;5;5;6;5
4110;3;2;1;9;31;10;1;7;7;3;8;6;5;1;3;3;;1;2;;2;3;1;2;1;2;2;2;3;2;1;7;1;3;1;2;1;1;1;1;2;0;;;;;;0;2;;2;2;1;2;2;1;1;2;4;4;4;4;;;;;1;31;10;5;3;1;0;6;1;0;0;1;0;3;2;2;2;3;4;1;3;2;2;2;2;3;2;2;4;1;;;;3;3;2;0;1;2;;;2;;4;6;4;5;6;5;4;4;2
4111;3;2;2;2;51;6;4;3;3;1;3;1;9;2;;2;;2;2;;2;1;2;2;1;1;2;2;2;2;2;6;1;3;1;1;2;1;1;2;3;80;1;2;;;;3;1;2;2;2;2;2;2;2;2;2;3;3;3;2;2;;;;1;51;6;4;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;2;2;5;6;5;5;6;2
4112;3;1;2;9;33;9;4;7;7;7;1;8;6;1;5;2;;2;2;;1;2;2;1;2;2;2;1;2;2;2;8;1;2;2;1;1;1;1;1;2;0;;;;;;0;3;2;3;2;2;2;2;2;2;2;4;3;4;3;;;;;1;33;9;6;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;2;5;6;6;4;2;6;2
4113;3;2;2;2;69;11;4;6;8;3;4;5;1;2;;3;;2;2;;2;1;2;2;2;2;2;2;2;2;2;8;1;6;2;1;2;1;1;1;6;0;;;;;;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;69;11;4;4;4;0;5;1;1;0;0;0;1;1;1;1;2;1;1;3;3;3;1;1;4;1;1;5;2;3;;;5;1;0;2;1;4;4;;;;4;1;6;6;6;5;6;6;6
4114;3;1;1;10;83;12;4;7;7;2;6;9;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;3;2;1;1;1;2;3;30;5;;;;;0;2;;2;1;2;2;2;1;2;2;4;4;4;4;;;;;1;83;12;6;2;0;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;6;6;5;5;6;5;6;5;6
4115;3;2;2;2;72;7;1;1;4;2;3;1;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;30;1;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;4;4;3;;;;1;72;7;9;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;2;2;5;6;5;5;4;2
4116;3;1;1;5;88;6;3;5;8;1;1;4;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;2;1;1;2;1;3;0;;;;;;0;3;;2;2;2;2;2;2;2;2;2;1;1;2;;;;;1;88;6;4;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;2;5;6;6;2;5;3;5
